energy_GeV,particle,data_yield,data_err,gc_model_yield,sce_blended_yield,data_source,note
3,Xi,0.0141,0.003564505576,0.032137,0.007302,ins1897327/Figure3(c),point at y=-0.1
3.2,Xi,,,0.054851,0.015285,,
3.5,Xi,,,0.105506,0.037503,,
3.9,Xi,,,0.205730,0.093085,,
4.5,Xi,,,0.415122,0.240522,,
5.2,Xi,,,0.701036,0.487860,,
7.7,Xi,1.19,0.1140175425,1.194271,1.113760,ins1738953/Xi- dN/dy 7.7 GeV,
11.5,Xi,1.35,0.1118033989,1.371727,,ins1738953/Xi- dN/dy 11.5 GeV,
19.6,Xi,1.62,0.1019803903,1.548143,,ins1738953/Xi- dN/dy 19.6 GeV,
27,Xi,1.57,0.1104536102,1.509410,,ins1738953/Xi- dN/dy 27 GeV,
39,Xi,1.54,0.1902629759,1.482998,,ins1738953/Xi- dN/dy 39 GeV,
130,Xi,2.16,0.234,,,arXiv:nucl-ex/0307024/Table I,includes 10% pT-independent systematic per paper
200,Xi,2.17,0.1992485885,2.353180,,arXiv:nucl-ex/0606014/Table I,
3,Xi_bar,,,0.000001,0.000000,,
3.2,Xi_bar,,,0.000004,0.000000,,
3.5,Xi_bar,,,0.000028,0.000000,,
3.9,Xi_bar,,,0.000197,0.000000,,
4.5,Xi_bar,,,0.001596,0.000024,,
5.2,Xi_bar,,,0.007858,0.000740,,
7.7,Xi_bar,0.0657,0.008099382693,0.058436,0.040889,ins1738953/AntiXi+ dN/dy 7.7 GeV,
11.5,Xi_bar,0.169,0.01456021978,0.161873,,ins1738953/AntiXi+ dN/dy 11.5 GeV,
19.6,Xi_bar,0.421,0.03041381265,0.391982,,ins1738953/AntiXi+ dN/dy 19.6 GeV,
27,Xi_bar,0.598,0.03847076812,0.559793,,ins1738953/AntiXi+ dN/dy 27 GeV,
39,Xi_bar,0.78,0.1104536102,0.712695,,ins1738953/AntiXi+ dN/dy 39 GeV,
130,Xi_bar,1.81,0.1978913844,,,arXiv:nucl-ex/0307024/Table I,includes 10% pT-independent systematic per paper
200,Xi_bar,1.83,0.2061552813,1.974187,,arXiv:nucl-ex/0606014/Table I,
3,phi,0.0157,0.005223112099,0.005778,0.005778,ins1897327/Figure3(b),point at y=-0.1
3.2,phi,,,0.012847,0.012868,,
3.5,phi,,,0.033942,0.034040,,
3.9,phi,,,0.090888,0.091182,,
4.5,phi,,,0.254500,0.255126,,
5.2,phi,,,0.548435,0.549099,,
7.7,phi,1.21,0.2184032967,1.343407,1.343407,ins1738953/Phi dN/dy 7.7 GeV,
11.5,phi,1.72,0.2630589288,,,ins1738953/Phi dN/dy 11.5 GeV,
19.6,phi,2.57,0.3522782991,,,ins1738953/Phi dN/dy 19.6 GeV,
27,phi,3.01,0.4517742799,,,ins1738953/Phi dN/dy 27 GeV,
39,phi,3.38,0.4809365863,,,ins1738953/Phi dN/dy 39 GeV,
200,phi,7.7,0.9013878189,,,ins651461/Table 1,
