energy_GeV,particle,data_yield,data_err,gc_effective_model_yield,sce_model_yield,data_source,model_source,note
3.5,phi,,,0.033942,0.034040,,THERMUS SCE (endpoint-interpolated),model-only point
3.9,K+,,,7.445123,4.964471,,THERMUS SCE (endpoint-interpolated),model-only point
3.9,K-,,,0.915963,0.804185,,THERMUS SCE (endpoint-interpolated),model-only point
3.9,Ks0,,,4.609700,3.414237,,THERMUS SCE (endpoint-interpolated),model-only point
3.9,Lambda,,,6.576541,5.267805,,THERMUS SCE (endpoint-interpolated),model-only point
3.9,Lambda_bar,,,0.000558,0.000470,,THERMUS SCE (endpoint-interpolated),model-only point
3.9,Xi,,,0.205730,0.093085,,THERMUS SCE (endpoint-interpolated),model-only point
3.9,Xi_bar,,,0.000197,0.000000,,THERMUS SCE (endpoint-interpolated),model-only point
3.9,phi,,,0.090888,0.091182,,THERMUS SCE (endpoint-interpolated),model-only point
4.5,K+,,,10.640155,8.156395,,THERMUS SCE (endpoint-interpolated),model-only point
4.5,K-,,,2.097859,1.987151,,THERMUS SCE (endpoint-interpolated),model-only point
4.5,Ks0,,,6.723159,5.738080,,THERMUS SCE (endpoint-interpolated),model-only point
4.5,Lambda,,,9.039377,7.783424,,THERMUS SCE (endpoint-interpolated),model-only point
4.5,Lambda_bar,,,0.004983,0.004669,,THERMUS SCE (endpoint-interpolated),model-only point
4.5,Xi,,,0.415122,0.240522,,THERMUS SCE (endpoint-interpolated),model-only point
4.5,Xi_bar,,,0.001596,0.000024,,THERMUS SCE (endpoint-interpolated),model-only point
4.5,phi,,,0.254500,0.255126,,THERMUS SCE (endpoint-interpolated),model-only point
5.2,K+,,,14.055619,11.806951,,THERMUS SCE (endpoint-interpolated),model-only point
5.2,K-,,,3.978873,3.898702,,THERMUS SCE (endpoint-interpolated),model-only point
5.2,Ks0,,,9.235260,8.447779,,THERMUS SCE (endpoint-interpolated),model-only point
5.2,Lambda,,,11.451693,10.410647,,THERMUS SCE (endpoint-interpolated),model-only point
5.2,Lambda_bar,,,0.026788,0.025811,,THERMUS SCE (endpoint-interpolated),model-only point
5.2,Xi,,,0.701036,0.487860,,THERMUS SCE (endpoint-interpolated),model-only point
5.2,Xi_bar,,,0.007858,0.000740,,THERMUS SCE (endpoint-interpolated),model-only point
5.2,phi,,,0.548435,0.549099,,THERMUS SCE (endpoint-interpolated),model-only point
7.7,K+,20.80071,1.688349061,21.182620,18.181798,"ins1510593/dN/dy, 7.7 GeV",THERMUS SCE (endpoint-interpolated),derived from dN/dy/(0.5*Npart) using Npart
7.7,K-,7.69272,0.6251012268,8.231162,8.561467,"ins1510593/dN/dy, 7.7 GeV",THERMUS SCE (endpoint-interpolated),derived from dN/dy/(0.5*Npart) using Npart
7.7,Ks0,,,14.190080,13.267979,,THERMUS SCE (endpoint-interpolated),model-only point
7.7,Lambda,15.3,0.8273451517,14.793853,14.618534,ins1738953/Lambda dN/dy 7.7 GeV,THERMUS SCE (endpoint-interpolated),
7.7,Lambda_bar,0.193,0.01992485885,0.212519,0.189891,ins1738953/AntiLambda dN/dy 7.7 GeV,THERMUS SCE (endpoint-interpolated),
7.7,Xi,1.19,0.1140175425,1.194271,1.113760,ins1738953/Xi- dN/dy 7.7 GeV,THERMUS SCE (endpoint-interpolated),
7.7,Xi_bar,0.0657,0.008099382693,0.058436,0.040889,ins1738953/AntiXi+ dN/dy 7.7 GeV,THERMUS SCE (endpoint-interpolated),
7.7,phi,1.21,0.2184032967,1.343407,1.343407,ins1738953/Phi dN/dy 7.7 GeV,THERMUS SCE (endpoint-interpolated),
11.5,K+,24.992979999999996,2.520100653,26.701622,,"ins1510593/dN/dy, 11.5 GeV",,derived from dN/dy/(0.5*Npart) using Npart
11.5,K-,12.344299999999999,1.234893201,13.538052,,"ins1510593/dN/dy, 11.5 GeV",,derived from dN/dy/(0.5*Npart) using Npart
11.5,Lambda,14.17,0.7840918314,13.754252,,ins1738953/Lambda dN/dy 11.5 GeV,,
