energy_GeV,raw_weight_7p7GeV,weight_3GeV,weight_7p7GeV,weight_power,interpolation_method,note
3,0.000000,1.000000,0.000000,,calibrated common log-linear interpolation weights from reference particles,"Exact endpoint values are used at 3.0 and 7.7 GeV; intermediate common weights are calibrated at each energy by minimizing the combined log-space mismatch to reference particles p, phi in data/thermus_gc_from_sce_effective/prediction_points"
3.2,0.042553,0.853058,0.146942,,calibrated common log-linear interpolation weights from reference particles,"Exact endpoint values are used at 3.0 and 7.7 GeV; intermediate common weights are calibrated at each energy by minimizing the combined log-space mismatch to reference particles p, phi in data/thermus_gc_from_sce_effective/prediction_points"
3.5,0.106383,0.674525,0.325475,,calibrated common log-linear interpolation weights from reference particles,"Exact endpoint values are used at 3.0 and 7.7 GeV; intermediate common weights are calibrated at each energy by minimizing the combined log-space mismatch to reference particles p, phi in data/thermus_gc_from_sce_effective/prediction_points"
3.9,0.191489,0.493696,0.506304,,calibrated common log-linear interpolation weights from reference particles,"Exact endpoint values are used at 3.0 and 7.7 GeV; intermediate common weights are calibrated at each energy by minimizing the combined log-space mismatch to reference particles p, phi in data/thermus_gc_from_sce_effective/prediction_points"
4.5,0.319149,0.304870,0.695130,,calibrated common log-linear interpolation weights from reference particles,"Exact endpoint values are used at 3.0 and 7.7 GeV; intermediate common weights are calibrated at each energy by minimizing the combined log-space mismatch to reference particles p, phi in data/thermus_gc_from_sce_effective/prediction_points"
5.2,0.468085,0.164196,0.835804,,calibrated common log-linear interpolation weights from reference particles,"Exact endpoint values are used at 3.0 and 7.7 GeV; intermediate common weights are calibrated at each energy by minimizing the combined log-space mismatch to reference particles p, phi in data/thermus_gc_from_sce_effective/prediction_points"
7.7,1.000000,0.000000,1.000000,,calibrated common log-linear interpolation weights from reference particles,"Exact endpoint values are used at 3.0 and 7.7 GeV; intermediate common weights are calibrated at each energy by minimizing the combined log-space mismatch to reference particles p, phi in data/thermus_gc_from_sce_effective/prediction_points"
