#: table_doi: 10.17182/hepdata.105867.v1/t2
#: name: Table 2
#: description: Directed flow for $\pi^{-}$ versus rapidity for central (0-10$\%$), intermediate-centrality (10-40$\%$) and peripheral (40-80$\%$) Au+Au collisions at $\sqrt{s_{NN}}$ = 39, 27, 19.6, 11.5 and 7.7 GeV. Errors are statistical only.
#: data_file: Table2.yaml
#: keyword observables: Directed flow
#: keyword phrases: Directed flow | Rapidity dependence
#: CENTRALITY,0-10$\%$
#: SQRT(sNN) [GeV],39.0
rapidity ($y$),$v_{1}$ for $\pi^{-}$,stat. +,stat. -
-0.5,0.00269664,0.00101313,-0.00101313
-0.3,0.00194594,0.000995277,-0.000995277
-0.1,0.000126252,0.00102804,-0.00102804
0.1,-0.00273391,0.00102633,-0.00102633
0.3,-0.0004427,0.000999545,-0.000999545
0.5,-0.00433598,0.00101835,-0.00101835
0.7,-0.00213611,0.00114069,-0.00114069
0.9,-0.00493046,0.0020668,-0.0020668

#: CENTRALITY,10-40$\%$
#: SQRT(sNN) [GeV],11.5
rapidity ($y$),$v_{1}$ for $\pi^{-}$,stat. +,stat. -
-0.9,0.0181201,0.000599337,-0.000599337
-0.7,0.013824,0.000344096,-0.000344096
-0.5,0.00859977,0.000310679,-0.000310679
-0.3,0.00512448,0.000306777,-0.000306777
-0.1,0.00230668,0.000316692,-0.000316692
0.1,-0.00191981,0.000316232,-0.000316232
0.3,-0.00558514,0.00030756,-0.00030756
0.5,-0.00975232,0.000311395,-0.000311395
0.7,-0.0137853,0.000346585,-0.000346585
0.9,-0.0176957,0.000616744,-0.000616744

#: CENTRALITY,40-80$\%$
#: SQRT(sNN) [GeV],11.5
rapidity ($y$),$v_{1}$ for $\pi^{-}$,stat. +,stat. -
-0.9,0.0403169,0.00116482,-0.00116482
-0.7,0.0282246,0.000669188,-0.000669188
-0.5,0.0196425,0.000606475,-0.000606475
-0.3,0.0111353,0.000601291,-0.000601291
-0.1,0.00281105,0.000620558,-0.000620558
0.1,-0.00397749,0.000619358,-0.000619358
0.3,-0.011127,0.000601131,-0.000601131
0.5,-0.0202217,0.000605408,-0.000605408
0.7,-0.0284867,0.000670804,-0.000670804
0.9,-0.0389162,0.00118378,-0.00118378

#: CENTRALITY,0-10$\%$
#: SQRT(sNN) [GeV],7.7
rapidity ($y$),$v_{1}$ for $\pi^{-}$,stat. +,stat. -
-0.9,0.000441316,0.00435667,-0.00435667
-0.7,0.00182928,0.00256068,-0.00256068
-0.5,-0.000142038,0.00221022,-0.00221022
-0.3,-0.00089236,0.00216492,-0.00216492
-0.1,0.000221004,0.00218349,-0.00218349
0.1,-0.00526669,0.00217873,-0.00217873
0.3,-0.00246784,0.00215614,-0.00215614
0.5,-0.00131499,0.00220043,-0.00220043
0.7,0.000838314,0.00258115,-0.00258115
0.9,-0.00750076,0.00451173,-0.00451173

#: CENTRALITY,10-40$\%$
#: SQRT(sNN) [GeV],7.7
rapidity ($y$),$v_{1}$ for $\pi^{-}$,stat. +,stat. -
-0.9,0.0180309,0.00121468,-0.00121468
-0.7,0.0146537,0.000716108,-0.000716108
-0.5,0.00902703,0.000617812,-0.000617812
-0.3,0.00496062,0.000609072,-0.000609072
-0.1,0.00290686,0.000614311,-0.000614311
0.1,-0.00131913,0.000612473,-0.000612473
0.3,-0.00603065,0.000605817,-0.000605817
0.5,-0.00875126,0.000612917,-0.000612917
0.7,-0.0123064,0.000710979,-0.000710979
0.9,-0.0198444,0.00121395,-0.00121395

#: CENTRALITY,40-80$\%$
#: SQRT(sNN) [GeV],7.7
rapidity ($y$),$v_{1}$ for $\pi^{-}$,stat. +,stat. -
-0.9,0.051107,0.00227639,-0.00227639
-0.7,0.0363774,0.00134638,-0.00134638
-0.5,0.0267159,0.0011662,-0.0011662
-0.3,0.0184652,0.00115529,-0.00115529
-0.1,0.00620654,0.0011687,-0.0011687
0.1,-0.0041068,0.00116132,-0.00116132
0.3,-0.0167095,0.00114483,-0.00114483
0.5,-0.0267019,0.00115022,-0.00115022
0.7,-0.0376915,0.00132452,-0.00132452
0.9,-0.0526559,0.0022337,-0.0022337

