component,series,x_low,x_high,x_center,sigma_cm,sigma_error_cm
xy,fastsim_reconstructed_dca,1.74375,1.8375,1.79062,0.00209725,0.00020194
xy,fastsim_reconstructed_dca,1.8375,1.93125,1.88437,0.00269111,0.000758786
z,data_iterative_gaussian,0.2,0.465,0.3325,0.00845977,6.76733e-05
z,data_iterative_gaussian,0.465,0.73,0.5975,0.00758906,5.53259e-05
z,data_iterative_gaussian,0.73,0.995,0.8625,0.00773257,8.00381e-05
z,data_iterative_gaussian,0.995,1.26,1.1275,0.00837409,0.000141657
z,data_iterative_gaussian,1.26,1.525,1.3925,0.00920187,0.000258894
z,data_iterative_gaussian,1.525,1.79,1.6575,0.00987627,0.000436264
z,data_iterative_gaussian,1.79,2.055,1.9225,0.010406,0.000681709
z,data_iterative_gaussian,2.055,2.32,2.1875,0.0122076,0.00144782
z,data_iterative_gaussian,2.32,2.585,2.4525,0.013045,0.0022623
z,data_iterative_gaussian,2.585,2.85,2.7175,0.0288434,0.0271671
z,data_iterative_gaussian,2.85,3.115,2.9825,0.0125127,0.00327917
z,data_iterative_gaussian,3.115,3.38,3.2475,0.0289398,0.0242309
z,data_iterative_gaussian,3.38,3.645,3.5125,0.0130688,0.00562121
z,data_iterative_gaussian,3.645,3.91,3.7775,0.028724,0.0285523
z,data_iterative_gaussian,3.91,4.175,4.0425,0.0146996,0.0106522
z,data_iterative_gaussian,4.175,4.44,4.3075,0.0118816,0.00675734
z,data_iterative_gaussian,4.44,4.705,4.5725,0.00870565,0.00335793
z,data_iterative_gaussian,4.705,4.97,4.8375,0.0125421,0.0109794
z,data_iterative_gaussian,4.97,5.235,5.1025,0.0284847,0.0266791
z,data_iterative_gaussian,5.235,5.5,5.3675,0.0285178,0.0270966
z,fastsim_reconstructed_dca,0.09375,0.1125,0.103125,0.0281674,0.00118607
z,fastsim_reconstructed_dca,0.1125,0.13125,0.121875,0.023196,0.000194362
z,fastsim_reconstructed_dca,0.13125,0.15,0.140625,0.0194261,8.23242e-05
z,fastsim_reconstructed_dca,0.15,0.16875,0.159375,0.0173891,5.60981e-05
z,fastsim_reconstructed_dca,0.16875,0.1875,0.178125,0.0152636,4.415e-05
z,fastsim_reconstructed_dca,0.1875,0.20625,0.196875,0.0135373,3.82623e-05
z,fastsim_reconstructed_dca,0.20625,0.225,0.215625,0.0121739,3.4584e-05
z,fastsim_reconstructed_dca,0.225,0.24375,0.234375,0.0111678,3.12944e-05
z,fastsim_reconstructed_dca,0.24375,0.2625,0.253125,0.0102904,2.96281e-05
z,fastsim_reconstructed_dca,0.2625,0.28125,0.271875,0.00955804,2.75984e-05
z,fastsim_reconstructed_dca,0.28125,0.3,0.290625,0.00890851,2.59215e-05
z,fastsim_reconstructed_dca,0.3,0.31875,0.309375,0.00834672,2.50265e-05
z,fastsim_reconstructed_dca,0.31875,0.3375,0.328125,0.00779604,2.4076e-05
z,fastsim_reconstructed_dca,0.3375,0.35625,0.346875,0.00737286,2.3258e-05
z,fastsim_reconstructed_dca,0.35625,0.375,0.365625,0.0069811,2.24928e-05
z,fastsim_reconstructed_dca,0.375,0.39375,0.384375,0.0065914,2.18337e-05
z,fastsim_reconstructed_dca,0.39375,0.4125,0.403125,0.00630367,2.16061e-05
z,fastsim_reconstructed_dca,0.4125,0.43125,0.421875,0.00599845,2.13085e-05
z,fastsim_reconstructed_dca,0.43125,0.45,0.440625,0.00571907,2.13806e-05
z,fastsim_reconstructed_dca,0.45,0.46875,0.459375,0.00549585,2.08961e-05
z,fastsim_reconstructed_dca,0.46875,0.4875,0.478125,0.00526042,2.11402e-05
z,fastsim_reconstructed_dca,0.4875,0.50625,0.496875,0.00507968,2.10692e-05
z,fastsim_reconstructed_dca,0.50625,0.54375,0.525,0.00475706,1.51885e-05
z,fastsim_reconstructed_dca,0.54375,0.58125,0.5625,0.00445408,1.55479e-05
z,fastsim_reconstructed_dca,0.58125,0.61875,0.6,0.00415378,1.57952e-05
z,fastsim_reconstructed_dca,0.61875,0.65625,0.6375,0.0039175,1.6567e-05
z,fastsim_reconstructed_dca,0.65625,0.69375,0.675,0.00367364,1.75495e-05
z,fastsim_reconstructed_dca,0.69375,0.73125,0.7125,0.00343995,1.81831e-05
z,fastsim_reconstructed_dca,0.73125,0.76875,0.75,0.00329041,1.89372e-05
z,fastsim_reconstructed_dca,0.76875,0.80625,0.7875,0.0031456,2.07239e-05
z,fastsim_reconstructed_dca,0.80625,0.84375,0.825,0.00303386,2.22004e-05
z,fastsim_reconstructed_dca,0.84375,0.88125,0.8625,0.00282438,2.31403e-05
z,fastsim_reconstructed_dca,0.88125,0.91875,0.9,0.00276666,2.53685e-05
z,fastsim_reconstructed_dca,0.91875,0.95625,0.9375,0.00265599,2.72901e-05
z,fastsim_reconstructed_dca,0.95625,0.99375,0.975,0.00254681,2.81245e-05
z,fastsim_reconstructed_dca,0.99375,1.0875,1.04062,0.00238334,2.16454e-05
z,fastsim_reconstructed_dca,1.0875,1.18125,1.13437,0.00223619,2.55558e-05
z,fastsim_reconstructed_dca,1.18125,1.275,1.22812,0.00204157,3.13799e-05
z,fastsim_reconstructed_dca,1.275,1.36875,1.32187,0.00183624,4.12912e-05
z,fastsim_reconstructed_dca,1.36875,1.4625,1.41562,0.0017208,5.2167e-05
z,fastsim_reconstructed_dca,1.4625,1.55625,1.50937,0.00161176,6.6108e-05
z,fastsim_reconstructed_dca,1.55625,1.65,1.60312,0.00159774,9.22846e-05
z,fastsim_reconstructed_dca,1.65,1.74375,1.69687,0.0014973,0.000120199
z,fastsim_reconstructed_dca,1.74375,1.8375,1.79062,0.0017653,0.000175318
z,fastsim_reconstructed_dca,1.8375,1.93125,1.88437,0.00120758,0.000339402
