x_low,x_high,x_center,entries,iterative_mean,iterative_mean_error,iterative_sigma,iterative_sigma_error,iterative_chi2_ndf,iterative_iterations,iterative_fit_status,fitslicesy_sigma,fitslicesy_sigma_error,fwhm,fwhm_sigma,input_gaussian_width,input_gaussian_width_error
0.20000000298,0.235333336294,0.217666669637,44443,7.8301743574e-05,3.19634084271e-05,0.00468403671096,3.79496193465e-05,32.9448049342,8,0,0.00817998087737,8.32435487027e-05,0.00546244897959,0.00231968850069,0.0032136615079,3.97112350657e-05
0.235333336294,0.270666669607,0.25300000295,270589,2.25795986193e-05,1.43449492308e-05,0.00539622105816,1.70429077998e-05,180.232217326,7,0,0.00846951533753,3.04218049195e-05,0.00620426361713,0.00263470817242,0.00340253438872,1.85124238792e-05
0.270666669607,0.306000002921,0.288333336264,533258,4.89377376309e-06,9.65249999035e-06,0.00517032076273,1.13113658425e-05,325.50147974,7,0,0.0077840647404,1.87383812606e-05,0.00650095069821,0.00276069957533,0.00340876713436,1.28962163704e-05
0.306000002921,0.341333336234,0.323666669577,770380,1.30192548348e-05,7.30422793833e-06,0.00471819668987,8.55798887061e-06,485.118636315,7,0,0.00701802137703,1.35730482315e-05,0.00628574496798,0.00266931011621,0.00332327331152,9.68616502967e-06
0.341333336234,0.376666669548,0.359000002891,964643,1.18952966279e-05,6.00544325568e-06,0.00441227824618,6.98137885728e-06,672.21457051,6,0,0.00639123481838,1.08445347506e-05,0.00583051105777,0.00247599007413,0.00321226009972,7.75149729142e-06
0.376666669548,0.412000002861,0.394333336204,1093012,2.26865176131e-06,5.23989242232e-06,0.00414270492872,6.0524309252e-06,800.231395557,6,0,0.00584923727018,9.03834326415e-06,0.00561430450948,0.00238417560671,0.00313979522481,6.74847502572e-06
0.412000002861,0.447333336174,0.429666669518,1153740,2.74122772905e-06,4.77723923679e-06,0.00389889580805,5.50937143375e-06,886.123529491,6,0,0.00545437051935,8.03881785243e-06,0.00538301588108,0.00228595636958,0.00305284819492,6.00148271696e-06
0.447333336174,0.482666669488,0.465000002831,1160972,-3.88274244095e-07,4.48750410305e-06,0.00367566640173,5.1716530421e-06,911.520122031,6,0,0.00511227939492,7.38660503195e-06,0.00526047369506,0.00223391749456,0.00298239630083,5.56110292291e-06
0.482666669488,0.518000002801,0.500333336145,1129118,-9.71800596792e-07,4.32148144261e-06,0.00347205191639,4.98437635224e-06,881.947255602,6,0,0.0048404730392,6.9796812941e-06,0.00508001692889,0.0021572845618,0.00292980840438,5.34123011162e-06
0.518000002801,0.553333336115,0.535666669458,1063054,5.36021412024e-06,4.25429051587e-06,0.0033898662607,4.82999254146e-06,873.213330481,5,0,0.00458021068328,6.70338530069e-06,0.0049715163483,0.00211120860758,0.00287644721966,5.18508271055e-06
0.553333336115,0.588666669428,0.571000002772,983982,7.66843343195e-07,4.20990884797e-06,0.0031975978372,4.80775409789e-06,813.798943606,5,0,0.00435727825707,6.57319602487e-06,0.0047865239599,0.0020326495734,0.0028131860572,5.07779436521e-06
0.588666669428,0.624000002742,0.606333336085,900756,4.34814648882e-06,4.26053714088e-06,0.00314341897671,4.83474507959e-06,806.863455701,5,0,0.00418336663686,6.5068487184e-06,0.00463071511515,0.00196648364913,0.00276980936548,5.09547948937e-06
0.624000002742,0.659333336055,0.641666669399,818493,1.8450662582e-08,4.28643053596e-06,0.00296921563387,4.89673460445e-06,713.742665192,6,0,0.00402654434175,6.55385908592e-06,0.00451580186841,0.00191768448634,0.00271994724627,5.08312473491e-06
0.659333336055,0.694666669369,0.677000002712,740117,-2.45525880613e-06,4.3762502622e-06,0.0029238557779,4.95994092486e-06,681.034555872,5,0,0.00387491596394,6.55508603744e-06,0.00442631220149,0.00187968172383,0.0026824550114,5.13770624584e-06
0.694666669369,0.730000002682,0.712333336025,664132,6.22095690157e-06,4.44818790459e-06,0.00275880366649,5.07901841936e-06,562.317119841,7,0,0.00374302169859,6.64082885042e-06,0.00436841478834,0.00185509495624,0.00264014119138,5.19823992697e-06
0.730000002682,0.765333335996,0.747666669339,593387,9.60067067329e-06,4.6059543004e-06,0.00272928831273,5.22734744222e-06,526.348354227,5,0,0.00363900147261,6.75743984333e-06,0.0042844351585,0.00181943209104,0.00261494524071,5.36307836218e-06
0.765333335996,0.800666669309,0.783000002652,528275,-1.23322020095e-05,4.7387049616e-06,0.0026828773208,5.34039081169e-06,506.234339683,5,0,0.00352533355169,6.9448851434e-06,0.00420491389051,0.00178566251779,0.00256895274358,5.4439445921e-06
0.800666669309,0.836000002623,0.818333335966,468992,8.11070595064e-06,4.88912894028e-06,0.00264144855526,5.46416618219e-06,457.180397716,5,0,0.00341939985851,7.08559486764e-06,0.00415990549366,0.00176654921148,0.0025317117363,5.5637483792e-06
0.836000002623,0.871333335936,0.853666669279,417316,6.51929311737e-06,5.0560117438e-06,0.00250418318698,5.72619944001e-06,376.50782243,5,0,0.00332674718881,7.24949022198e-06,0.00410804734729,0.00174452708436,0.00250418318698,5.72619946017e-06
0.871333335936,0.90666666925,0.889000002593,369697,8.55162144755e-06,5.24534509341e-06,0.00246948237834,5.92507904202e-06,350.845848137,5,0,0.00325683474479,7.52177942505e-06,0.00401234120979,0.00170388442986,0.00246948237834,5.92507901789e-06
0.90666666925,0.942000002563,0.924333335906,328152,-3.5352351321e-07,5.43792715384e-06,0.00243685895097,6.09912709561e-06,325.121456033,5,0,0.00317387382223,7.78437949755e-06,0.00395798328817,0.00168080074593,0.00243685895097,6.09912709645e-06
0.942000002563,0.977333335876,0.95966666922,291460,-1.17268574312e-05,5.64535635123e-06,0.00240804815345,6.27384907854e-06,294.05332192,4,0,0.00307842085233,7.88914426754e-06,0.00388642861016,0.00165041427196,0.00240804815345,6.27384906177e-06
0.977333335876,1.01266666919,0.995000002533,259392,-3.29293032285e-06,5.87415630295e-06,0.00238207448369,6.52208620873e-06,284.361908362,4,0,0.00301943769451,8.17190983621e-06,0.00380223086342,0.00161465878104,0.00238207448368,6.52208624581e-06
1.01266666919,1.0480000025,1.03033333585,230097,3.07599223728e-06,6.06528467281e-06,0.00224487890654,6.83914860787e-06,223.057779801,5,0,0.00295081682664,8.5228236615e-06,0.00380347090556,0.00161518537845,0.0023467964378,6.68543444643e-06
1.0480000025,1.08333333582,1.06566666916,205444,-4.31516535219e-06,6.32609216912e-06,0.00222773441184,7.12393359584e-06,209.084393434,5,0,0.00288041214904,8.69102406057e-06,0.00370301388414,0.0015725252093,0.00232696211685,6.95262089049e-06
1.08333333582,1.11866666913,1.10100000247,183935,9.86455249207e-07,6.56012993489e-06,0.00220252606699,7.33877422148e-06,196.781916541,5,0,0.00282033228183,8.9557118885e-06,0.00359906976422,0.00152838420577,0.00230084622375,7.18931299354e-06
1.11866666913,1.15400000244,1.13633333579,164617,8.83065456808e-07,6.79098447856e-06,0.00217695501004,7.56113337995e-06,190.206073101,4,0,0.00275471876559,9.14802596615e-06,0.00347322110799,0.00147494120214,0.00227582161521,7.4474813082e-06
1.15400000244,1.18933333576,1.1716666691,147469,-2.17443864746e-06,6.99971321944e-06,0.00214473849109,7.74495303912e-06,163.175036925,4,0,0.00270486993709,9.62170506723e-06,0.00359279524089,0.00152571966105,0.00224041165405,7.65302110159e-06
1.18933333576,1.22466666907,1.20700000241,132298,-1.02111939403e-05,7.3906227191e-06,0.00214731073065,8.1565964574e-06,151.060856692,4,0,0.00268897456505,9.98679921096e-06,0.00351018551146,0.00149063853899,0.00224051632663,8.022044816e-06
