#: table_doi: 10.17182/hepdata.110656.v1/t2
#: name: fig3 top
#: description: Rapidity($y$) dependence of $v_1$ (top panels) and $v_2$ (bottom panels) of proton and $\Lambda$ baryons (left panels), pions (middle panels) and kaons (right panels) in 10-40% centrality for the $\sqrt{s_{NN}}$ = 3GeV Au+Au collisions. Statistical and systematic uncertainties are shown as bars and gray bands, respectively. Some uncertainties are smaller than the data points. The UrQMD and JAM results are shown as bands:golden, red and blue bands stand for JAM mean-field, UrQMD mean-field and UrQMD cascade mode, respectively. The value of the incompressibility $\kappa$ = 380 MeV is used in the mean-field option. More detailed model descriptions and data comparisons can be found in Supplemental Material.
#: data_file: fig3_top.yaml
#: keyword reactions: AuAu
#: keyword cmenergies: 3.0
#: keyword observables: direct flow
#: Particle Rapidity $y$,$v_1$
Particle Rapidity $y$,$v_1$ p,stat +,stat -,sys +,sys -
-0.05,-0.00490522,0.00320754,-0.00320754,0.00230202,-0.00230202
-0.15,-0.0146126,0.00332679,-0.00332679,0.000963125,-0.000963125
-0.25,-0.0189879,0.00374211,-0.00374211,0.00151881,-0.00151881
-0.35,-0.0368993,0.00434807,-0.00434807,0.00262101,-0.00262101
-0.45,-0.0298447,0.00493653,-0.00493653,0.00403379,-0.00403379
-0.55,-0.0383296,0.00572312,-0.00572312,0.00118976,-0.00118976
-0.65,-0.0464788,0.00685585,-0.00685585,0.00177342,-0.00177342
-0.75,-0.0515238,0.00833987,-0.00833987,0.00158398,-0.00158398
-0.85,-0.0468614,0.0104651,-0.0104651,0.00471961,-0.00471961
-0.95,-0.0216044,0.013194,-0.013194,0.00724557,-0.00724557

#: Particle Rapidity $y$,$v_1$
Particle Rapidity $y$,$v_1$ $K_S^0$,stat +,stat -,sys +,sys -
-0.05,-0.00796802,0.00359231,-0.00359231,0.00241941,-0.00241941
-0.15,-0.00863779,0.00346271,-0.00346271,0.00304803,-0.00304803
-0.25,-0.0161606,0.00331219,-0.00331219,0.00265109,-0.00265109
-0.35,-0.0234813,0.0032496,-0.0032496,0.0016024,-0.0016024
-0.45,-0.0356411,0.00332852,-0.00332852,0.00172036,-0.00172036
-0.55,-0.0572884,0.00372013,-0.00372013,0.00342331,-0.00342331
-0.65,-0.070863,0.00458953,-0.00458953,0.00275162,-0.00275162
-0.75,-0.0991667,0.00609183,-0.00609183,0.002676,-0.002676
-0.85,-0.105152,0.00958537,-0.00958537,0.00422248,-0.00422248
-0.95,-0.139333,0.0220389,-0.0220389,0.0144849,-0.0144849

