#: table_doi: 10.17182/hepdata.110656.v1/t19
#: name: fig4_a 3GeV $K$
#: description: $v_2$ scaled by the number of constituent quarks, $v_2/n_q$ , as a function of scaled transverse kinetic energy ($(m_T − m_0)/n_q$) for pions, kaons and protons from Au+Au collisions in 10-40% centrality at $\sqrt{s_{NN}}$ = 3, 27, and 54.4 GeV for positive charged particles (left panel) and negative charged particles (right panel). Colored dashed lines represent the scaling fit to data in 7.7, 14.5, 27, 54.4, and 200 GeV Au+Au collisions from STAR experiment at RHIC [43–45]. Statistical and systematic uncertainties are shown as bars and gray bands, respectively. Some uncertainties are smaller than the data points.
#: data_file: fig4_kp_3.yaml
#: keyword reactions: AuAu
#: keyword cmenergies: 3.0
#: keyword observables: elliptic flow
#: $(m_T - m_0)/n_q (GeV/c^2)$,$v_2/n_q$
$(m_T - m_0)/n_q (GeV/c^2)$,$v_2/n_q$ $K^+$ 3 GeV,stat +,stat -,sys +,sys -
0.0816345,-0.009938,0.00059155,-0.00059155,0.000421853,-0.000421853
0.179133,-0.00834795,0.00080546,-0.00080546,0.00083736,-0.00083736
0.28409,-0.0056788,0.00106462,-0.00106462,0.00087384,-0.00087384
0.471862,-0.0079734,0.00266232,-0.00266232,0.0016506,-0.0016506

