#: table_doi: 10.17182/hepdata.110656.v1/t7
#: name: fig4_a 54GeV p
#: description: $v_2$ scaled by the number of constituent quarks, $v_2/n_q$ , as a function of scaled transverse kinetic energy ($(m_T − m_0)/n_q$) for pions, kaons and protons from Au+Au collisions in 10-40% centrality at $\sqrt{s_{NN}}$ = 3, 27, and 54.4 GeV for positive charged particles (left panel) and negative charged particles (right panel). Colored dashed lines represent the scaling fit to data in 7.7, 14.5, 27, 54.4, and 200 GeV Au+Au collisions from STAR experiment at RHIC [43–45]. Statistical and systematic uncertainties are shown as bars and gray bands, respectively. Some uncertainties are smaller than the data points.
#: data_file: fig4_pp_54.yaml
#: keyword reactions: AuAu
#: keyword cmenergies: 3.0
#: keyword observables: elliptic flow
#: $(m_T - m_0)/n_q (GeV/c^2)$,$v_2/n_q$
$(m_T - m_0)/n_q (GeV/c^2)$,$v_2/n_q$ p 54 GeV,stat +,stat -,sys +,sys -
0.0203028,0.00263181,7.51953e-05,-7.51953e-05,0.000296203,-0.000296203
0.0436155,0.0056098,2.83306e-05,-2.83306e-05,0.0001106,-0.0001106
0.0779892,0.0118256,2.35934e-05,-2.35934e-05,0.000227174,-0.000227174
0.120177,0.0199234,2.35557e-05,-2.35557e-05,0.000409613,-0.000409613
0.16801,0.0286007,2.61036e-05,-2.61036e-05,0.000618327,-0.000618327
0.219944,0.037059,3.06616e-05,-3.06616e-05,0.000797133,-0.000797133
0.274885,0.04464,3.73287e-05,-3.73287e-05,0.000946263,-0.000946263
0.332072,0.0513913,4.66617e-05,-4.66617e-05,0.00106984,-0.00106984
0.390969,0.0570207,8.22227e-05,-8.22227e-05,0.00113142,-0.00113142
0.451203,0.061731,0.00010787,-0.00010787,0.00134309,-0.00134309
0.512516,0.065558,0.000142302,-0.000142302,0.00141721,-0.00141721
0.5747,0.068967,0.000183662,-0.000183662,0.0014485,-0.0014485
0.637566,0.07105,0.000239091,-0.000239091,0.00147212,-0.00147212
0.700896,0.0735323,0.000317908,-0.000317908,0.00161918,-0.00161918

