#: table_doi: 10.17182/hepdata.110656.v1/t3
#: name: fig3 bottom (p, $\pi^{\pm}$, K+)
#: description: Rapidity($y$) dependence of $v_1$ (top panels) and $v_2$ (bottom panels) of proton and $\Lambda$ baryons (left panels), pions (middle panels) and kaons (right panels) in 10-40% centrality for the $\sqrt{s_{NN}}$ = 3GeV Au+Au collisions. Statistical and systematic uncertainties are shown as bars and gray bands, respectively. Some uncertainties are smaller than the data points. The UrQMD and JAM results are shown as bands:golden, red and blue bands stand for JAM mean-field, UrQMD mean-field and UrQMD cascade mode, respectively. The value of the incompressibility $\kappa$ = 380 MeV is used in the mean-field option. More detailed model descriptions and data comparisons can be found in Supplemental Material.
#: data_file: fig3_bottom_1.yaml
#: keyword reactions: AuAu
#: keyword cmenergies: 3.0
#: keyword observables: elliptic flow
#: Particle Rapidity $y$,$v_2$
Particle Rapidity $y$,$v_2$ p,stat +,stat -,sys +,sys -
-0.05,-0.0215476,0.000127203,-0.000127203,0.00110625,-0.00110625
-0.15,-0.0205711,0.000127402,-0.000127402,0.000707457,-0.000707457
-0.25,-0.0191894,0.000128545,-0.000128545,0.000617737,-0.000617737
-0.35,-0.017581,0.00012861,-0.00012861,0.000561968,-0.000561968
-0.45,-0.0143508,0.00013032,-0.00013032,0.000447258,-0.000447258
-0.55,-0.00948898,0.000130541,-0.000130541,0.000342194,-0.000342194
-0.65,-0.00231553,0.00013305,-0.00013305,0.000369761,-0.000369761
-0.75,0.00720103,0.000138414,-0.000138414,0.000869591,-0.000869591
-0.85,0.0196095,0.00015436,-0.00015436,0.00104359,-0.00104359
-0.95,0.03739,0.000180969,-0.000180969,0.00127974,-0.00127974

#: Particle Rapidity $y$,$v_2$
Particle Rapidity $y$,$v_2$ $\pi^+$,stat +,stat -,sys +,sys -
-0.05,-0.0270011,0.000304301,-0.000304301,0.000927691,-0.000927691
-0.15,-0.0262154,0.000307709,-0.000307709,0.000915835,-0.000915835
-0.25,-0.0267038,0.000310681,-0.000310681,0.00122298,-0.00122298
-0.35,-0.0272488,0.000319569,-0.000319569,0.000846972,-0.000846972
-0.45,-0.0276927,0.000330814,-0.000330814,0.000832491,-0.000832491
-0.55,-0.0281598,0.000350646,-0.000350646,0.000879573,-0.000879573
-0.65,-0.028663,0.000371556,-0.000371556,0.000898243,-0.000898243
-0.75,-0.0300568,0.000398728,-0.000398728,0.00103409,-0.00103409
-0.85,-0.031139,0.000431578,-0.000431578,0.000977061,-0.000977061
-0.95,-0.0311928,0.000474489,-0.000474489,0.000998213,-0.000998213

#: Particle Rapidity $y$,$v_2$
Particle Rapidity $y$,$v_2$ $\pi^-$,stat +,stat -,sys +,sys -
-0.05,-0.0165181,0.000273199,-0.000273199,0.000546012,-0.000546012
-0.15,-0.0160634,0.000276067,-0.000276067,0.00051389,-0.00051389
-0.25,-0.0160957,0.000278582,-0.000278582,0.000515461,-0.000515461
-0.35,-0.0170284,0.000286299,-0.000286299,0.000583257,-0.000583257
-0.45,-0.0168865,0.000296397,-0.000296397,0.000547748,-0.000547748
-0.55,-0.017647,0.000314866,-0.000314866,0.000618661,-0.000618661
-0.65,-0.0185628,0.000334713,-0.000334713,0.00061504,-0.00061504
-0.75,-0.0186106,0.000360703,-0.000360703,0.000750983,-0.000750983
-0.85,-0.0213052,0.000392559,-0.000392559,0.000662927,-0.000662927
-0.95,-0.0204974,0.000436394,-0.000436394,0.000965389,-0.000965389

#: Particle Rapidity $y$,$v_2$
Particle Rapidity $y$,$v_2$ $K^+$,stat +,stat -,sys +,sys -
-0.05,-0.0170269,0.00171635,-0.00171635,0.000822977,-0.000822977
-0.15,-0.0171611,0.00174542,-0.00174542,0.00117717,-0.00117717
-0.25,-0.0166637,0.00190037,-0.00190037,0.00112573,-0.00112573
-0.35,-0.0167134,0.00212005,-0.00212005,0.00145197,-0.00145197
-0.45,-0.0208151,0.00230364,-0.00230364,0.0012142,-0.0012142
-0.55,-0.0255965,0.00254744,-0.00254744,0.00227919,-0.00227919
-0.65,-0.0270674,0.00291743,-0.00291743,0.00162739,-0.00162739
-0.75,-0.0285182,0.00338829,-0.00338829,0.00102778,-0.00102778
-0.85,-0.0308948,0.00400803,-0.00400803,0.00232293,-0.00232293
-0.95,-0.0352446,0.00475444,-0.00475444,0.00484053,-0.00484053

