#: table_doi: 10.17182/hepdata.110656.v1/t6
#: name: fig3 bottom ($K_S^0$)
#: description: Rapidity($y$) dependence of $v_1$ (top panels) and $v_2$ (bottom panels) of proton and $\Lambda$ baryons (left panels), pions (middle panels) and kaons (right panels) in 10-40% centrality for the $\sqrt{s_{NN}}$ = 3GeV Au+Au collisions. Statistical and systematic uncertainties are shown as bars and gray bands, respectively. Some uncertainties are smaller than the data points. The UrQMD and JAM results are shown as bands:golden, red and blue bands stand for JAM mean-field, UrQMD mean-field and UrQMD cascade mode, respectively. The value of the incompressibility $\kappa$ = 380 MeV is used in the mean-field option. More detailed model descriptions and data comparisons can be found in Supplemental Material.
#: data_file: fig3_bottom_4.yaml
#: keyword reactions: AuAu
#: keyword cmenergies: 3.0
#: keyword observables: elliptic flow
#: Particle Rapidity $y$,$v_2$
Particle Rapidity $y$,$v_2$ $K_S^0$,stat +,stat -,sys +,sys -
-0.25,-0.0134751,0.00322468,-0.00322468,0.00233151,-0.00233151
-0.75,-0.0320028,0.00890516,-0.00890516,0.00268343,-0.00268343

