x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
0.20000000298,0.465000002831,0.332500002906,151839,1.8614638216e-05,3.06311227354e-05,0.00571913536388,6.72753040146e-05,1.5374343193,2,0
0.465000002831,0.730000002682,0.597500002757,190125,-1.14865629371e-05,1.39281967696e-05,0.00396645686182,2.10470946677e-05,1.19625608448,2,0
0.730000002682,0.995000002533,0.862500002608,129208,5.83385827321e-06,1.22144672795e-05,0.00328965554402,1.5542064801e-05,1.17119036551,2,0
0.995000002533,1.26000000238,1.12750000246,82436,2.34421700733e-05,1.30127050591e-05,0.00298279393395,1.51608312228e-05,1.69138544985,2,0
1.26000000238,1.52500000224,1.39250000231,54250,1.99134122803e-05,1.4775481144e-05,0.00283194602846,1.64012730976e-05,1.8081961328,2,0
1.52500000224,1.79000000209,1.65750000216,36766,-2.09000980393e-07,1.71883236598e-05,0.0027554267001,1.8760409172e-05,1.48286663382,2,0
1.79000000209,2.05500000194,1.92250000201,25385,-2.26648513829e-05,1.95610935285e-05,0.00265686857771,2.06791847567e-05,1.4123506324,2,0
2.05500000194,2.32000000179,2.18750000186,18244,-1.34071951504e-05,2.27053216466e-05,0.00262800535585,2.37052357936e-05,1.36051833103,2,0
2.32000000179,2.58500000164,2.45250000171,13504,1.63221683003e-05,2.5989051696e-05,0.0026010072625,2.68700783142e-05,1.16000075086,2,0
2.58500000164,2.85000000149,2.71750000156,10173,-3.70072056727e-05,3.03263614093e-05,0.00262110373495,3.20115930049e-05,1.26800040546,2,0
2.85000000149,3.11500000134,2.98250000142,7716,-2.13485935085e-05,3.39341517134e-05,0.00257736425335,3.4760080994e-05,0.87604144855,2,0
3.11500000134,3.38000000119,3.24750000127,6268,-6.71396331499e-05,3.65490138349e-05,0.002527221017,3.67997506345e-05,0.590430058424,2,0
3.38000000119,3.64500000104,3.51250000112,5000,4.50409510623e-06,4.14692259437e-05,0.00254463155477,4.31124333201e-05,1.22211692677,2,0
3.64500000104,3.91000000089,3.77750000097,4047,-4.13569007752e-05,4.65491684964e-05,0.00256378419523,4.77985864498e-05,0.764336308075,2,0
3.91000000089,4.17500000075,4.04250000082,3311,-6.13110491997e-05,4.87806856945e-05,0.00246961362429,4.88338138939e-05,0.963366167442,2,0
4.17500000075,4.4400000006,4.30750000067,2710,-3.31560954917e-05,5.40115824372e-05,0.00247277210366,5.26654540055e-05,0.76349916373,2,0
4.4400000006,4.70500000045,4.57250000052,2194,9.69898649701e-05,5.98309634717e-05,0.00242006708622,6.11151280659e-05,1.51613065807,3,0
4.70500000045,4.9700000003,4.83750000037,1894,0.000100592832671,6.12450721427e-05,0.00231015298854,6.02551690304e-05,0.72118758433,2,0
4.9700000003,5.23500000015,5.10250000022,1544,4.53866034703e-05,7.11213115878e-05,0.00241932381546,7.32676721573e-05,1.14669391359,3,0
5.23500000015,5.5,5.36750000007,1311,-0.000230273377959,7.60085794013e-05,0.00235251660379,7.44395429103e-05,1.03976225557,3,0
