x_low,x_high,x_center,entries,iterative_mean,iterative_mean_error,iterative_sigma,iterative_sigma_error,iterative_chi2_ndf,iterative_iterations,iterative_fit_status,fitslicesy_sigma,fitslicesy_sigma_error,fwhm,fwhm_sigma,input_gaussian_width,input_gaussian_width_error
0.82,0.84,0.83,302731,-6.703961372,0.0319244413057,1.63879604475,0.0041065792239,16.0172339686,1,4,1.64650988587,0.00572373851539,0.334493240485,0.142046200598,0,0
0.84,0.86,0.85,284068,-6.60691348783,0.0329273844225,1.63021045727,0.00477548444919,14.0928504326,1,4,1.6276559591,0.00284084485642,0.334672257797,0.142122222251,0,0
0.86,0.88,0.87,268406,-6.56256211467,0.028632752751,1.62334977594,0.00418040204116,13.9556255401,1,4,1.66761354095,0.00520309831184,0.340833074845,0.144738480364,0,0
0.88,0.9,0.89,252995,-6.52632318582,0.0346783756721,1.62161260241,0.00451857200976,13.8364226371,1,4,1.66605824316,0.00443541141263,0.332746681948,0.141304505478,0,0
0.9,0.92,0.91,236459,-6.74986486166,0.0388785601687,1.64765339082,0.00539854375754,11.8072008354,1,4,1.62537803451,0.00592805754509,0.330621718168,0.140402116446,0,0
0.92,0.94,0.93,223059,-6.78046998745,0.0443328143337,1.65310051483,0.0056751219529,11.2340332342,1,4,1.62521066305,0.00653636044726,0.334266264687,0.141949812852,0,0
0.94,0.96,0.95,210632,-6.62708135009,0.0331666903756,1.64259595099,0.00521647238435,10.6662534927,1,4,1.66011373247,0.00570230328178,0.336332199072,0.142827134407,0,0
0.96,0.98,0.97,200193,-6.89912728477,0.0329091817472,1.66817920563,0.00504817881095,10.4425931836,1,4,1.66953282711,0.00667928084613,0.33382806237,0.141763725461,0,0
0.98,1,0.99,185213,-7.05861928444,0.0473907221385,1.69586323621,0.00635120917758,9.3272698214,1,4,1.66243298144,0.00631611234458,0.335298926547,0.142388343967,0,0
1,1.02,1.01,173905,-6.66298301698,0.0451497557943,1.64695073342,0.00571083179345,9.11831008073,1,4,1.64154299926,0.00588870967319,0.330950585963,0.14054177374,0,0
1.02,1.04,1.03,167261,-6.58765098552,0.0436773814887,1.63930991293,0.00633014538323,8.02697297517,1,4,1.6585194218,0.00647724449485,0.332341070336,0.141132258086,0,0
1.04,1.06,1.05,154717,-7.09763739913,0.0478452355953,1.69610767592,0.00661235850188,7.93433301982,1,4,1.68465289205,0.00711646062005,0.333621273437,0.141675910287,0,0
1.06,1.08,1.07,147010,-6.98654659868,0.0274440372009,1.68549156904,0.00389107289311,7.77776526881,1,4,1.68800092543,0.00753603657106,0.336474448173,0.142887542039,0,0
1.08,1.1,1.09,139114,-6.83936013611,0.0470729849628,1.67353673386,0.0069359594419,6.56257533966,1,4,1.67139713961,0.00699739812035,0.329641691799,0.139985937566,0,0
1.1,1.12,1.11,131027,-6.97116330867,0.0516810030161,1.68635108743,0.00745526389197,7.56590361367,1,4,1.68204348499,0.00878277417775,0.344553346011,0.146318334066,0,0
1.12,1.14,1.13,124025,-6.99106563355,0.0671342967477,1.69726338025,0.00862074574391,6.69220711965,1,4,1.69138335373,0.00758594122068,0.336941526893,0.143085892108,0,0
1.14,1.16,1.15,116808,-7.02846141539,0.0547226064609,1.69555735585,0.00783685559063,6.43694996245,1,4,1.69005020981,0.00718470994254,0.325358394664,0.138166988749,0,0
1.16,1.18,1.17,109436,-6.76363977966,0.0543504539773,1.66926384212,0.0078440536861,5.70138969425,1,4,1.69148792715,0.00784995021054,0.332725452445,0.141295490138,0,0
1.18,1.2,1.19,105515,-6.76074942537,0.068931162299,1.67434229623,0.00953702934786,6.01398146344,1,4,1.68340488002,0.00790887655172,0.329864154965,0.140080408975,0,0
1.2,1.22,1.21,98334,-6.9098728634,0.0434469911809,1.6805529201,0.00670533996388,4.81901511384,1,4,1.67303844662,0.00823633538147,0.326804617021,0.138781142837,0,0
1.22,1.24,1.23,93424,-6.94948927131,0.0376989142172,1.6868304064,0.00548521980613,6.2516588386,1,4,1.68282056773,0.00678989020813,0.332398182723,0.141156511483,0,0
1.24,1.26,1.25,88596,-7.17164538237,0.0504905988871,1.71555576469,0.00641887159428,5.84262705192,1,4,1.72290211607,0.0106162747886,0.339226607669,0.144056276567,0,0
1.26,1.28,1.27,83333,-6.80734367149,0.0716967584239,1.67996118087,0.00954437169932,4.2145494726,1,4,1.71414691264,0.0104542610841,0.334688686806,0.142129199009,0,0
1.28,1.3,1.29,77899,-7.03513061788,0.0561525355969,1.70505952362,0.00880976764825,5.31167877849,1,4,1.7046685018,0.00949896876203,0.352079812342,0.149514530034,0,0
1.3,1.32,1.31,74054,-7.17401593907,0.0895214147831,1.72159634461,0.0113724936728,3.8295200012,1,4,1.6956792486,0.00803767490706,0.343444444444,0.145847426929,0,0
1.32,1.34,1.33,71573,-6.88000041537,0.0588316196959,1.69427144366,0.00971922214928,3.91326016297,1,4,1.72676385866,0.0119371686246,0.33555200815,0.142495817828,0,0
1.34,1.36,1.35,67679,-6.82480704687,0.0774741454909,1.69105240557,0.0115871507946,3.70280426269,1,4,1.70094502907,0.0103381989465,0.330636622511,0.140408445738,0,0
1.36,1.38,1.37,63942,-7.23849235929,0.0914750897048,1.73390173089,0.0119844082932,4.02474204159,1,4,1.69345224373,0.011587549596,0.340220423257,0.14447831119,0,0
1.38,1.4,1.39,59326,-6.95442227759,0.0840525448748,1.70624067907,0.0114178689201,3.83472413939,1,4,1.69435483249,0.0108476308413,0.335558779282,0.142498693263,0,0
1.4,1.42,1.41,55624,-7.0912707443,0.081968670513,1.72235583971,0.0117247803267,3.57164111493,1,4,1.72406344839,0.011169589656,0.325535369257,0.138242142939,0,0
1.42,1.44,1.43,53984,-7.18584509609,0.108167578144,1.72895864934,0.0145924757678,3.50740358383,1,4,1.71199111604,0.00572889079081,0.332111761781,0.141034879708,0,0
1.44,1.46,1.45,50330,-7.3364625764,0.0866333248435,1.74399331305,0.0119750672839,2.7726273867,1,4,1.71866755915,0.0116444486421,0.335160849688,0.142329708123,0,0
1.46,1.48,1.47,49122,-7.12553004181,0.104136563689,1.73056370829,0.014416402334,3.19167860875,1,4,1.75109675759,0.0132289528905,0.330724589107,0.140445801712,0,0
1.48,1.5,1.49,45714,-6.86693429588,0.0583703867941,1.69204802381,0.00662361027079,3.03185393804,1,4,1.70113512647,0.0108914474852,0.333266352695,0.141525189325,0,0
1.5,1.52,1.51,43237,-6.64268259385,0.0657629978547,1.6666304233,0.0110640822279,2.32459918433,1,4,1.68123223276,0.0150937522262,0.3445,0.146295680102,0,0
