energy_GeV,pdg_id,particle_name,data_yield,data_err,model_yield
200.000000,-3312,"anti-Ksi-",1.830000,0.206155,1.903774
200.000000,-3122,"anti-Lambda",12.700000,0.921954,12.094084
200.000000,-2212,"anti-p",18.584700,3.450663,21.745225
200.000000,-321,"K-",49.500000,6.200000,53.578817
200.000000,-211,"pi-",327.000000,25.000000,311.593956
200.000000,211,"pi+",322.000000,25.000000,310.070349
200.000000,321,"K+",51.300000,6.500000,56.433673
200.000000,2212,"p",24.028700,4.457623,29.852278
200.000000,3122,"Lambda",16.700000,1.118034,15.522019
200.000000,3312,"Ksi-",2.170000,0.199249,2.283684
