energy_GeV,pdg_id,particle_name,data_yield,data_err,model_yield
27.000000,-3312,"anti-Ksi-",0.598000,0.038471,0.537713
27.000000,-3122,"anti-Lambda",2.750000,0.140357,2.901972
27.000000,-2212,"anti-p",4.250500,0.726690,4.453647
27.000000,-321,"K-",22.623470,2.059871,23.017108
27.000000,-211,"pi-",177.056980,19.551123,162.713408
27.000000,211,"pi+",172.971710,19.104838,156.513008
27.000000,321,"K+",31.068650,2.815112,32.365875
27.000000,2212,"p",24.280955,3.824664,27.816365
27.000000,3122,"Lambda",11.670000,0.511566,11.923877
27.000000,3312,"Ksi-",1.570000,0.110454,1.444479
