energy_GeV,pdg_id,particle_name,data_yield,data_err,model_yield
11.500000,-3312,"anti-Ksi-",0.169000,0.014560,0.156259
11.500000,-3122,"anti-Lambda",0.659000,0.047854,0.702248
11.500000,-2212,"anti-p",1.033159,0.189264,0.900444
11.500000,-321,"K-",12.344300,1.234893,13.018451
11.500000,-211,"pi-",129.699700,13.021798,123.854745
11.500000,211,"pi+",123.781200,12.514543,114.845973
11.500000,321,"K+",24.992980,2.520101,25.589449
11.500000,2212,"p",34.945190,5.316734,41.163190
11.500000,3122,"Lambda",14.170000,0.784092,13.946872
11.500000,3312,"Ksi-",1.350000,0.111803,1.332403
