energy_GeV,pdg_id,particle_name,data_yield,data_err,model_yield
19.600000,-3312,"anti-Ksi-",0.421000,0.030414,0.374286
19.600000,-3122,"anti-Lambda",1.858000,0.099408,1.964957
19.600000,-2212,"anti-p",2.970138,0.544780,2.933951
19.600000,-321,"K-",18.826600,1.893102,20.275205
19.600000,-211,"pi-",165.789000,18.252782,150.227315
19.600000,211,"pi+",161.395000,17.914797,144.317825
19.600000,321,"K+",29.558100,2.974592,29.926931
19.600000,2212,"p",26.183880,4.471377,31.144218
19.600000,3122,"Lambda",12.580000,0.461736,12.811841
19.600000,3312,"Ksi-",1.620000,0.101980,1.491584
