energy_GeV,pdg_id,particle_name,data_yield,data_err,model_yield
7.700000,-3312,"anti-Ksi-",0.065700,0.008099,0.055799
7.700000,-3122,"anti-Lambda",0.193000,0.019925,0.215735
7.700000,-2212,"anti-p",0.274805,0.053159,0.238001
7.700000,-321,"K-",7.692720,0.625101,7.941466
7.700000,-211,"pi-",100.039100,9.116046,100.764426
7.700000,211,"pi+",93.459800,8.436687,90.922945
7.700000,321,"K+",20.800710,1.688349,20.166297
7.700000,2212,"p",45.185760,6.079735,53.397672
7.700000,3122,"Lambda",15.300000,0.827345,14.890424
7.700000,3312,"Ksi-",1.190000,0.114018,1.166897
