energy_GeV,pdg_id,particle_name,data_yield,data_err,model_yield
39.000000,-3312,"anti-Ksi-",0.780000,0.110454,0.676822
39.000000,-3122,"anti-Lambda",3.820000,0.360139,3.948078
39.000000,-2212,"anti-p",6.050265,1.048969,6.540059
39.000000,-321,"K-",25.012440,2.272369,26.487491
39.000000,-211,"pi-",185.765200,20.519199,170.402644
39.000000,211,"pi+",182.279870,20.143331,166.891689
39.000000,321,"K+",31.966035,2.904500,32.575317
39.000000,2212,"p",19.457055,2.972881,23.158300
39.000000,3122,"Lambda",11.020000,0.860523,10.779023
39.000000,3312,"Ksi-",1.540000,0.190263,1.421491
