#: table_doi: 10.17182/hepdata.102408.v1/t232
#: name: Table 224
#: description: The elliptic flow,v_2 of Λ,Λbar as a function of the transverse momentum, p_T,for 0–80% central Au+Au collisions
#: data_file: Data77,a.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/p_T
#: keyword cmenergies: 39
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],39
#: Au+Au,${p}$
#: Centrality [percentage],10-40
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.006256,0.000171,-0.000394,0.000545,-0.000545,0.000125,-0.000125
0.495,0.016372,0.000476,-0.001178,0.000205,-0.000205,0.000125,-0.000125
0.705,0.035174,0.000569,-0.00128,0.000172,-0.000172,0.000125,-0.000125
0.885,0.058489,0.000579,-0.001263,0.000173,-0.000173,0.000125,-0.000125
1.095,0.083716,0.000543,-0.001167,0.000193,-0.000193,0.000125,-0.000125
1.275,0.107311,0.000444,-0.000945,0.000229,-0.000229,0.000125,-0.000125
1.485,0.129351,0.000421,-0.000891,0.000283,-0.000283,0.000125,-0.000125
1.695,0.148297,0.000277,-0.000568,0.000363,-0.000363,0.000125,-0.000125
2.875,0.164633,0.000229,-0.000473,0.000479,-0.000479,0.000125,-0.000125
2.085,0.176239,0.000259,-0.000531,0.000594,-0.000594,0.000125,-0.000125
2.295,0.18757,0.000127,-0.000261,0.000784,-0.000784,0.000125,-0.000125
2.475,0.195966,0.000329,-0.000197,0.001068,-0.001068,0.000125,-0.000125
2.685,0.205624,0.000206,-0.000103,0.001477,-0.001477,0.000125,-0.000125
2.955,0.212297,0.000399,-0.000688,0.001651,-0.001651,0.000125,-0.000125
3.345,0.216848,0.001331,-0.000811,0.00321,-0.00321,0.000125,-0.000125

#: SQRT(S) [GEV],39
#: Au+Au,$\overline{p}$
#: Centrality [percentage],10-40
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.003674,0.000605,-0.001822,0.000926,-0.000926,0.000125,-0.000125
0.495,0.010673,0.00045,-0.001128,0.000382,-0.000382,0.000125,-0.000125
0.705,0.026668,0.000719,-0.001658,0.000316,-0.000316,0.000125,-0.000125
0.885,0.048699,0.000809,-0.001801,0.000319,-0.000319,0.000125,-0.000125
1.095,0.073529,0.000779,-0.001705,0.000359,-0.000359,0.000125,-0.000125
1.275,0.097254,0.000737,-0.001596,0.000433,-0.000433,0.000125,-0.000125
1.485,0.118446,0.000581,-0.001238,0.000545,-0.000545,0.000125,-0.000125
1.695,0.1377,0.000348,-0.000729,0.000718,-0.000718,0.000125,-0.000125
2.875,0.154429,0.000512,-0.001057,0.000866,-0.000866,0.000125,-0.000125
2.085,0.16567,0.000281,-0.00058,0.001159,-0.001159,0.000125,-0.000125
2.295,0.177735,0.000479,-0.000874,0.001558,-0.001558,0.000125,-0.000125
2.475,0.194259,0.000943,-0.000641,0.002175,-0.002175,0.000125,-0.000125
2.685,0.197949,0.000779,-0.001517,0.003081,-0.003081,0.000125,-0.000125
2.955,0.205333,0.000219,-0.000449,0.003565,-0.003565,0.000125,-0.000125
3.345,0.221208,0.002167,-0.001246,0.007277,-0.007277,0.000125,-0.000125

