#: table_doi: 10.17182/hepdata.102408.v1/t21
#: name: Table 21
#: description: The elliptic flow,v_2, as a function of the transverse momentum,p_T, from 0–80% central Au+Au collisions for various particle species and energies.
#: data_file: Data7,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/p_T
#: keyword cmenergies: 11.5
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],19.6
#: Au+Au,p
#: Centrality [percentage],0-80
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.006007,0.000158,-0.000397,0.000948,-0.000948,0.000596,-0.000596
0.495,0.01689,0.000179,-0.000449,0.00037,-0.00037,0.000596,-0.000596
0.705,0.032528,0.000288,-0.000652,0.000316,-0.000316,0.000596,-0.000596
0.885,0.052604,0.000238,-0.000519,0.000323,-0.000323,0.000596,-0.000596
1.095,0.071729,0.000195,-0.000418,0.000366,-0.000366,0.000596,-0.000596
1.275,0.090242,0.000159,-0.000191,0.000444,-0.000444,0.000596,-0.000596
1.485,0.106005,9.8e-05,-8.4e-05,0.000562,-0.000562,0.000596,-0.000596
1.695,0.119548,0.000138,-0.000178,0.000741,-0.000741,0.000596,-0.000596
1.875,0.131381,0.000214,-0.000416,0.00101,-0.00101,0.000596,-0.000596
2.085,0.140943,0.0006,-0.000298,0.001288,-0.001288,0.000596,-0.000596
2.295,0.148884,0.000201,-0.000223,0.001755,-0.001755,0.000596,-0.000596
2.475,0.152717,0.000409,-0.000209,0.002467,-0.002467,0.000596,-0.000596
2.685,0.167373,0.000649,-0.001279,0.003514,-0.003514,0.000596,-0.000596
2.955,0.167586,0.000528,-0.00091,0.004126,-0.004126,0.000596,-0.000596
3.345,0.174867,0.005404,-0.002776,0.008635,-0.008635,0.000596,-0.000596

