#: table_doi: 10.17182/hepdata.102408.v1/t247
#: name: Table 239
#: description: The elliptic flow, v_2, of p and $\overline{p}$ as a function of the transverse momentum, p_T, for 40–80% central Au+Au collisions.
#: data_file: Data85,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: ∆v_2/p_T
#: keyword cmenergies: 62.4
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],62.4
#: Au+Au,${p} - \overline{p}$
#: Centrality [percentage],40-80
${p_T}$,$\Delta{v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.0020348,0.000649,-0.001857,0.003317,-0.003317,0.001452,-0.001452
0.495,0.0027996,0.000999,-0.00243,0.001353,-0.001353,0.001452,-0.001452
0.705,0.0048784,0.001048,-0.002352,0.001163,-0.001163,0.001452,-0.001452
0.885,0.0027498,0.000758,-0.001649,0.001237,-0.001237,0.001452,-0.001452
1.095,0.0053532,0.000798,-0.001665,0.00146,-0.00146,0.001452,-0.001452
1.275,0.0053245,0.000818,-0.000891,0.001822,-0.001822,0.001452,-0.001452
1.485,0.0037222,0.000977,-0.002039,0.002351,-0.002351,0.001452,-0.001452
1.695,0.0039548,0.000387,-0.000703,0.003166,-0.003166,0.001452,-0.001452
1.875,0.0065658,0.000985,-0.001734,0.0038,-0.0038,0.001452,-0.001452
2.085,-0.00030436,0.000446,-0.000833,0.005138,-0.005138,0.001452,-0.001452
2.295,-0.0019162,0.00109,-0.002084,0.006975,-0.006975,0.001452,-0.001452
2.535,-0.0014204,0.00278,-0.002606,0.008622,-0.008622,0.001452,-0.001452
3.045,0.005358,0.00148,-0.002586,0.016552,-0.016552,0.001452,-0.001452

