#: table_doi: 10.17182/hepdata.102408.v1/t144
#: name: Table 136
#: description: The elliptic flow, v_2, of charged kaons as a function of the transverse momentum,p_T,for 0–80% central Au+Au collisions.
#: data_file: Data32,a.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/p_T
#: keyword cmenergies: 11.5
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],11.5
#: Au+Au,${K^+}$
#: Centrality [percentage],0-80
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.013881,4.3e-05,-2.1e-05,0.001233,-0.001233,0.000885,-0.000885
0.495,0.028443,6.5e-05,-3.7e-05,0.000793,-0.000793,0.000885,-0.000885
0.705,0.042206,0.000142,-8.8e-05,0.000821,-0.000821,0.000885,-0.000885
0.885,0.055034,0.00012,-7.7e-05,0.000996,-0.000996,0.000885,-0.000885
1.095,0.067682,8.9e-05,-4.4e-05,0.001302,-0.001302,0.000885,-0.000885
1.275,0.077815,2.8e-05,-1.4e-05,0.001746,-0.001746,0.000885,-0.000885
1.485,0.087108,0.00017,-0.000207,0.002423,-0.002423,0.000885,-0.000885
1.665,0.087763,7.9e-05,-3.6e-05,0.003437,-0.003437,0.000885,-0.000885
1.965,0.085647,0.000852,-0.000871,0.004067,-0.004067,0.000885,-0.000885
2.325,0.08438,0.003642,-0.004604,0.010179,-0.010179,0.000885,-0.000885

#: SQRT(S) [GEV],11.5
#: Au+Au,${K^-}$
#: Centrality [percentage],0-80
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.01132,2.3e-05,-1.2e-05,0.001724,-0.001724,0.000885,-0.000885
0.495,0.025042,4e-06,-2e-06,0.001141,-0.001141,0.000885,-0.000885
0.705,0.039624,2.2e-05,-4.2e-05,0.001205,-0.001205,0.000885,-0.000885
0.885,0.055106,5.6e-05,-9.9e-05,0.001491,-0.001491,0.000885,-0.000885
1.095,0.067439,7.3e-05,-0.000145,0.001986,-0.001986,0.000885,-0.000885
1.275,0.078338,2.7e-05,-4.4e-05,0.002692,-0.002692,0.000885,-0.000885
1.485,0.089815,3.9e-05,-7.3e-05,0.003799,-0.003799,0.000885,-0.000885
1.665,0.093321,6.8e-05,-4.3e-05,0.005576,-0.005576,0.000885,-0.000885
1.965,0.097588,0.000288,-0.000368,0.007044,-0.007044,0.000885,-0.000885
2.325,0.089941,0.004015,-0.004202,0.017615,-0.017615,0.000885,-0.000885

