#: table_doi: 10.17182/hepdata.102408.v1/t162
#: name: Table 154
#: description: The elliptic flow,v_2 of p, $\overline{p}$ as a function of the transverse momentum, p_T,for 0–80% central Au+Au collisions.
#: data_file: Data38,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: ∆v_2/p_T
#: keyword cmenergies: 11.5
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],11.5
#: Au+Au,${p} - \overline{p}$
#: Centrality [percentage],0-80
${p_T}$,$\Delta{v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.020528,0.00236,-0.001807,0.009379,-0.009379,0.000783,-0.000783
0.495,0.016007,0.002104,-0.004993,0.003949,-0.003949,0.000783,-0.000783
0.705,0.014331,0.000675,-0.001502,0.003371,-0.003371,0.000783,-0.000783
0.885,0.019471,0.00027,-0.000225,0.00355,-0.00355,0.000783,-0.000783
1.095,0.021773,0.001308,-0.002438,0.004196,-0.004196,0.000783,-0.000783
1.365,0.020105,0.000555,-0.001005,0.004287,-0.004287,0.000783,-0.000783
1.755,0.021869,0.000305,-0.000482,0.007059,-0.007059,0.000783,-0.000783
2.145,0.015106,0.000929,-0.001119,0.013873,-0.013873,0.000783,-0.000783
2.655,0.018018,0.006862,-0.003977,0.030505,-0.030505,0.000783,-0.000783

