#: table_doi: 10.17182/hepdata.102408.v1/t136
#: name: Table 128
#: description: The elliptic flow, v_2, of charged pions as a function of the transverse momentum,p_T,for 0–80% central Au+Au collisions. Different ∆v_2 ranges were used for the upper and lower panels.
#: data_file: Data28,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: ∆v_2/p_T
#: keyword cmenergies: 27
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],27
#: Au+Au,$\pi^{+}-\pi^{-}$
#: Centrality [percentage],0-80
${p_T}$,${\Delta}{v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.285,-0.0030052,0.0,-0.0,6.3e-05,-6.3e-05,0.000221,-0.000221
0.495,-0.0027495,7.2e-05,-3.6e-05,7.6e-05,-7.6e-05,0.000221,-0.000221
0.675,-0.0027603,5.6e-05,-2.8e-05,0.000105,-0.000105,0.000221,-0.000221
0.885,-0.0025066,4e-06,-8e-06,0.00015,-0.00015,0.000221,-0.000221
1.065,-0.0027886,4.2e-05,-8.4e-05,0.000216,-0.000216,0.000221,-0.000221
1.275,-0.0030735,1.2e-05,-2.3e-05,0.000307,-0.000307,0.000221,-0.000221
1.485,-0.0033564,3e-06,-6e-06,0.000436,-0.000436,0.000221,-0.000221
1.665,-0.0028276,5e-06,-6e-06,0.000621,-0.000621,0.000221,-0.000221
1.875,-0.0041936,1.3e-05,-7e-06,0.000881,-0.000881,0.000221,-0.000221
2.085,-0.0055586,2.6e-05,-1.5e-05,0.001225,-0.001225,0.000221,-0.000221
2.295,0.00097766,2.5e-05,-2.6e-05,0.00169,-0.00169,0.000221,-0.000221
2.475,-0.0074788,4.7e-05,-6.2e-05,0.002308,-0.002308,0.000221,-0.000221
2.805,0.0012831,0.000293,-0.0003,0.002145,-0.002145,0.000221,-0.000221
3.465,-0.0045722,0.001085,-0.001156,0.005525,-0.005525,0.000221,-0.000221

