#: table_doi: 10.17182/hepdata.102408.v1/t241
#: name: Table 233
#: description: The elliptic flow, v_2, of p and $\overline{p}$ as a function of the transverse momentum, p_T, for 40–80% central Au+Au collisions.
#: data_file: Data82,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: ∆v_2/p_T
#: keyword cmenergies: 19.6
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],19.6
#: Au+Au,${p} - \overline{p}$
#: Centrality [percentage],40-80
${p_T}$,$\Delta{v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.0051053,0.005885,-0.001941,0.008119,-0.008119,0.000728,-0.000728
0.495,0.0043111,0.000611,-0.000254,0.003569,-0.003569,0.000728,-0.000728
0.705,0.0068502,0.000621,-0.001304,0.003263,-0.003263,0.000728,-0.000728
0.885,0.0044374,0.002034,-0.004462,0.003642,-0.003642,0.000728,-0.000728
1.095,0.012723,0.001673,-0.003377,0.004531,-0.004531,0.000728,-0.000728
1.275,0.0078099,0.002098,-0.004304,0.005958,-0.005958,0.000728,-0.000728
1.485,0.0045156,0.002149,-0.001013,0.00814,-0.00814,0.000728,-0.000728
1.665,0.0087184,0.002403,-0.004111,0.011687,-0.011687,0.000728,-0.000728
1.875,0.013764,0.000918,-0.001697,0.014812,-0.014812,0.000728,-0.000728
2.145,-0.002849,0.001139,-0.00203,0.017049,-0.017049,0.000728,-0.000728
2.625,-0.013577,0.011576,-0.006701,0.03512,-0.03512,0.000728,-0.000728

