#: table_doi: 10.17182/hepdata.102408.v1/t176
#: name: Table 168
#: description: The elliptic flow,v_2 of $\Lambda$ and $\overline{\Lambda}$ as a function of the transverse momentum, p_T,for 0–80% central Au+Au. collisions.
#: data_file: Data45,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: ∆v_2/p_T
#: keyword cmenergies: 19.6
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],19.6
#: Au+Au,${\Lambda} - \bar{\Lambda}$
#: Centrality [percentage],0-80
${p_T}$,$\Delta{v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.4925,0.0079545,0.000989,-0.001272,0.004806,-0.004806,0.000594,-0.000594
0.7055,0.010795,0.001228,-0.00239,0.003021,-0.003021,0.000594,-0.000594
0.9055,0.011932,0.00094,-0.0008,0.002544,-0.002544,0.000594,-0.000594
1.1055,0.011932,0.001267,-0.000581,0.002499,-0.002499,0.000594,-0.000594
1.2955,0.0125,0.00075,-0.000955,0.002752,-0.002752,0.000594,-0.000594
1.5055,0.014773,0.000703,-0.00167,0.003223,-0.003223,0.000594,-0.000594
1.7795,0.013636,0.000604,-0.000624,0.003137,-0.003137,0.000594,-0.000594
2.2235,0.010227,0.002539,-0.002425,0.005042,-0.005042,0.000594,-0.000594
2.8315,0.0125,0.005145,-0.005116,0.012878,-0.012878,0.000594,-0.000594

