#: table_doi: 10.17182/hepdata.102408.v1/t229
#: name: Table 221
#: description: The elliptic flow, v_2, of p and $\overline{p}$ as a function of the transverse momentum, p_T, for 10–40% central Au+Au collisions.
#: data_file: Data75,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: ∆v_2/p_T
#: keyword cmenergies: 19.6
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],19.6
#: Au+Au,${p} - \overline{p}$
#: Centrality [percentage],10-40
${p_T}$,$\Delta{v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.0027668,0.00136,-0.000443,0.002751,-0.002751,0.000459,-0.000459
0.495,0.0090653,0.000585,-0.001498,0.001147,-0.001147,0.000459,-0.000459
0.705,0.009665,0.000547,-0.001273,0.000974,-0.000974,0.000459,-0.000459
0.885,0.011221,0.000669,-0.00146,0.001009,-0.001009,0.000459,-0.000459
1.095,0.012452,0.00083,-0.001834,0.001171,-0.001171,0.000459,-0.000459
1.275,0.014957,0.000862,-0.00187,0.001458,-0.001458,0.000459,-0.000459
1.485,0.013026,0.000525,-0.001134,0.001896,-0.001896,0.000459,-0.000459
1.695,0.012363,0.00055,-0.001059,0.002599,-0.002599,0.000459,-0.000459
1.845,0.013599,0.001148,-0.00229,0.00318,-0.00318,0.000459,-0.000459
2.085,0.015463,0.000897,-0.001854,0.004402,-0.004402,0.000459,-0.000459
2.265,0.014168,0.001949,-0.004088,0.006096,-0.006096,0.000459,-0.000459
2.535,0.012228,0.000785,-0.000902,0.007424,-0.007424,0.000459,-0.000459
3.015,0.01658,0.003064,-0.006043,0.015272,-0.015272,0.000459,-0.000459

