#: table_doi: 10.17182/hepdata.102408.v1/t261
#: name: Table 256
#: description: The elliptic flow,v_2, of 0–80% central Au+Au collisions as a function of the reduced transverse mass,$ m_T−m_0 $, for selected particles.
#: data_file: Data91,a.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/$ m_T−m_0 $
#: keyword cmenergies: 11.5
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],19.6
#: Au+Au,p
#: Centrality [percentage],0-80
$Reduced ~transverse~ mass~(GeV/C^2)$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.006007,0.000158,-0.000397,0.000948,-0.000948,0.000596,-0.000596
0.495,0.01689,0.000179,-0.000449,0.00037,-0.00037,0.000596,-0.000596
0.705,0.032528,0.000288,-0.000652,0.000316,-0.000316,0.000596,-0.000596
0.885,0.052604,0.000238,-0.000519,0.000323,-0.000323,0.000596,-0.000596
1.095,0.071729,0.000195,-0.000418,0.000366,-0.000366,0.000596,-0.000596
1.275,0.090242,0.000159,-0.000191,0.000444,-0.000444,0.000596,-0.000596
1.485,0.106005,9.8e-05,-8.4e-05,0.000562,-0.000562,0.000596,-0.000596
1.695,0.119548,0.000138,-0.000178,0.000741,-0.000741,0.000596,-0.000596
1.875,0.131381,0.000214,-0.000416,0.00101,-0.00101,0.000596,-0.000596

