#: table_doi: 10.17182/hepdata.102408.v1/t155
#: name: Table 147
#: description: The elliptic flow, v_2, of charged koans as a function of the transverse momentum,p_T,for 0–80% central Au+Au collisions. Different ∆v_2 ranges were used for the upper and lower panels.
#: data_file: Data35,c.yaml
#: keyword reactions: Au+Au
#: keyword observables: ∆v_2/p_T
#: keyword cmenergies: 39
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],39
#: Au+Au,$K{^+}-K{^-}$
#: Centrality [percentage],0-80
${p_T}$,$\Delta{v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,-0.0071628,1.9e-05,-1.3e-05,0.000244,-0.000244,0.000439,-0.000439
0.495,-0.0071523,3.7e-05,-2.7e-05,0.000154,-0.000154,0.000439,-0.000439
0.705,-0.0069155,3.5e-05,-2.2e-05,0.000154,-0.000154,0.000439,-0.000439
0.885,-0.0069059,3.7e-05,-1.4e-05,0.00018,-0.00018,0.000439,-0.000439
1.095,-0.0071185,9e-05,-1.2e-05,0.000225,-0.000225,0.000439,-0.000439
1.275,-0.0073328,6.3e-05,-4e-05,0.000291,-0.000291,0.000439,-0.000439
1.485,-0.0077709,9.7e-05,-0.000156,0.000387,-0.000387,0.000439,-0.000439
1.695,-0.0077605,0.000116,-9.6e-05,0.000524,-0.000524,0.000439,-0.000439
1.875,-0.0084233,0.000215,-0.000248,0.00072,-0.00072,0.000439,-0.000439
2.085,-0.0072877,0.000448,-0.000476,0.001033,-0.001033,0.000439,-0.000439
2.295,-0.0068278,0.000743,-0.000677,0.001514,-0.001514,0.000439,-0.000439
2.475,-0.0047948,0.001641,-0.001614,0.002247,-0.002247,0.000439,-0.000439
2.685,-0.0081535,0.000934,-0.001024,0.003349,-0.003349,0.000439,-0.000439
2.955,-0.01488,0.001254,-0.001305,0.00396,-0.00396,0.000439,-0.000439
3.345,-0.0092401,0.002923,-0.003199,0.006368,-0.006368,0.000439,-0.000439

