#: table_doi: 10.17182/hepdata.102408.v1/t166
#: name: Table 158
#: description: The elliptic flow,v_2 of p, $\overline{p}$ as a function of the transverse momentum, p_T,for 0–80% central Au+Au collisions.
#: data_file: Data40,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: ∆v_2/p_T
#: keyword cmenergies: 27
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],27
#: Au+Au,${p} - \overline{p}$
#: Centrality [percentage],0-80
${p_T}$,$\Delta{v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.0081189,0.000608,-0.001563,0.000638,-0.000638,0.000415,-0.000415
0.495,0.0072306,0.000386,-0.000918,0.000539,-0.000539,0.000415,-0.000415
0.705,0.0083647,0.000348,-0.000802,0.000226,-0.000226,0.000415,-0.000415
0.885,0.010398,0.000441,-0.001004,0.00055,-0.00055,0.000415,-0.000415
1.095,0.0099621,0.000444,-0.000994,0.000622,-0.000622,0.000415,-0.000415
1.275,0.010644,0.000407,-0.000901,0.000754,-0.000754,0.000415,-0.000415
1.485,0.010209,4.5e-05,-9.4e-05,0.001248,-0.001248,0.000415,-0.000415
1.695,0.011117,7.1e-05,-0.000155,0.000503,-0.000503,0.000415,-0.000415
1.875,0.011129,0.000115,-6e-05,0.001536,-0.001536,0.000415,-0.000415
2.085,0.010017,0.001068,-0.000497,0.002069,-0.002069,0.000415,-0.000415
2.295,0.0084559,0.000686,-0.00032,0.002802,-0.002802,0.000415,-0.000415
2.475,0.0089151,0.000184,-0.000393,0.003911,-0.003911,0.000415,-0.000415
2.685,0.0082532,0.001487,-0.000696,0.005556,-0.005556,0.000415,-0.000415
2.955,0.011864,0.000205,-0.000263,0.006484,-0.006484,0.000415,-0.000415
3.435,0.010542,0.00495,-0.002286,0.012514,-0.012514,0.000415,-0.000415

