#: table_doi: 10.17182/hepdata.102408.v1/t182
#: name: Table 174
#: description: The elliptic flow,v_2 of $\Lambda$ and $\overline{\Lambda}$ as a function of the transverse momentum, p_T,for 0–80% central Au+Au collisions.
#: data_file: Data48,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: ∆v_2/p_T
#: keyword cmenergies: 62.4
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],62.4
#: Au+Au,${\Lambda} - \bar{\Lambda}$
#: Centrality [percentage],0-80
${p_T}$,$\Delta{v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.4925,0.0014173,0.000575,-0.000982,0.00213,-0.00213,0.00078,-0.00078
0.7055,0.0027202,0.000609,-0.001368,0.001279,-0.001279,0.00078,-0.00078
0.9055,0.0040198,0.000284,-0.000328,0.001032,-0.001032,0.00078,-0.00078
1.1055,0.0021799,0.00024,-0.000364,0.000978,-0.000978,0.00078,-0.00078
1.2955,0.0039387,0.000416,-0.000288,0.001023,-0.001023,0.00078,-0.00078
1.5055,0.0016363,0.000273,-0.000691,0.00114,-0.00114,0.00078,-0.00078
1.7055,0.0011414,0.000185,-0.000376,0.001346,-0.001346,0.00078,-0.00078
1.9055,0.00334,0.00062,-0.000509,0.001645,-0.001645,0.00078,-0.00078
2.1055,0.0064503,0.000658,-0.00054,0.002073,-0.002073,0.00078,-0.00078
2.3055,0.00055896,0.000874,-0.000874,0.00269,-0.00269,0.00078,-0.00078
2.5055,0.0050209,0.00117,-0.000945,0.003556,-0.003556,0.00078,-0.00078
2.7055,0.0004681,0.00293,-0.002308,0.004762,-0.004762,0.00078,-0.00078
3.0055,0.0049041,0.001193,-0.001114,0.005202,-0.005202,0.00078,-0.00078
3.5275,-0.0010619,0.004497,-0.004054,0.008218,-0.008218,0.00078,-0.00078

