#: table_doi: 10.17182/hepdata.102408.v1/t170
#: name: Table 162
#: description: The elliptic flow,v_2 of p, $\overline{p}$ as a function of the transverse momentum, p_T,for 0–80% central Au+Au collisions.
#: data_file: Data42,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: ∆v_2/p_T
#: keyword cmenergies: 62.4
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],62.4
#: Au+Au,${p} - \overline{p}$
#: Centrality [percentage],0-80
${p_T}$,$\Delta{v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.0029213,0.000225,-0.000164,0.001178,-0.001178,0.000735,-0.000735
0.495,0.0051685,0.000523,-0.001322,0.000459,-0.000459,0.000735,-0.000735
0.705,0.005618,0.00062,-0.001441,0.000367,-0.000367,0.000735,-0.000735
0.885,0.0049438,0.000537,-0.001204,0.000362,-0.000362,0.000735,-0.000735
1.095,0.0058427,0.000563,-0.001227,0.000399,-0.000399,0.000735,-0.000735
1.275,0.0069663,0.000527,-0.001146,0.000473,-0.000473,0.000735,-0.000735
1.485,0.007191,0.000507,-0.001094,0.000583,-0.000583,0.000735,-0.000735
1.695,0.0060674,0.000291,-0.000567,0.000474,-0.000474,0.000735,-0.000735
1.875,0.005618,0.000117,-0.000147,0.000891,-0.000891,0.000735,-0.000735
2.085,0.0083146,0.000202,-0.0004,0.001197,-0.001197,0.000735,-0.000735
2.295,0.0083146,0.00033,-0.000157,0.00162,-0.00162,0.000735,-0.000735
2.475,0.0067416,0.00132,-0.000663,0.002335,-0.002335,0.000735,-0.000735
2.685,0.011236,0.00074,-0.000386,0.003447,-0.003447,0.000735,-0.000735
2.955,0.011011,0.001389,-0.001295,0.004321,-0.004321,0.000735,-0.000735
3.345,0.0035955,0.00166,-0.002695,0.008568,-0.008568,0.000735,-0.000735

