#: table_doi: 10.17182/hepdata.102408.v1/t335
#: name: Table 343
#: description: The difference in the v_2 values between a particle X and its corresponding anti-particle $\overline{X}$ as a function of √sNN for 0–80% central Au+Au collisions.
#: data_file: Data86,d.yaml
#: keyword reactions: Au+Au
#: keyword phrases: Elliptic flow | RHIC | STAR
#: Au+Au,${K^+} - {K^-}$
#: Centrality [percentage],0-80
$\sqrt{s_{NN}}$,${v_2}(X)-{v_2}(\bar{X})$,stat +,stat -
7.7,0.0052632,0.000564,-0.000564
11.5,0.0010526,0.000361,-0.000361
19.6,0.00078947,0.000369,-0.000369
27,0.00065789,0.00044,-0.00044
39,-0.00052632,0.000563,-0.000563
62.4,-0.00052632,0.000749,-0.000749

