#: table_doi: 10.17182/hepdata.102408.v1/t231
#: name: Table 223
#: description: The elliptic flow, v_2, of p and $\overline{p}$ as a function of the transverse momentum, p_T, for 10–40% central Au+Au collisions.
#: data_file: Data76,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: ∆v_2/p_T
#: keyword cmenergies: 27
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],27
#: Au+Au,${p} - \overline{p}$
#: Centrality [percentage],10-40
${p_T}$,$\Delta{v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.0056,0.000186,-0.000533,0.001523,-0.001523,0.000361,-0.000361
0.495,0.0064,0.000788,-0.002032,0.000645,-0.000645,0.000361,-0.000361
0.705,0.0090667,0.000579,-0.001369,0.000545,-0.000545,0.000361,-0.000361
0.885,0.0112,0.000638,-0.001448,0.000559,-0.000559,0.000361,-0.000361
1.095,0.012267,0.000758,-0.001688,0.000635,-0.000635,0.000361,-0.000361
1.275,0.014667,0.000731,-0.00161,0.000773,-0.000773,0.000361,-0.000361
1.485,0.014133,0.000288,-0.000629,0.000977,-0.000977,0.000361,-0.000361
1.695,0.013867,0.000408,-0.000883,0.001281,-0.001281,0.000361,-0.000361
1.845,0.014133,0.000415,-0.000894,0.001591,-0.001591,0.000361,-0.000361
2.065,0.0136,0.000344,-0.000738,0.002144,-0.002144,0.000361,-0.000361
2.25,0.0090667,0.00016,-0.000287,0.002901,-0.002901,0.000361,-0.000361
2.475,0.013333,0.0002,-0.000423,0.004049,-0.004049,0.000361,-0.000361
2.685,0.012267,0.000211,-0.000156,0.005713,-0.005713,0.000361,-0.000361
2.955,0.0098667,0.000419,-0.000886,0.00669,-0.00669,0.000361,-0.000361
3.435,0.011467,0.000878,-0.001872,0.012929,-0.012929,0.000361,-0.000361

