#: table_doi: 10.17182/hepdata.102408.v1/t235
#: name: Table 227
#: description: The elliptic flow, v_2, of p and $\overline{p}$ as a function of the transverse momentum, p_T, for 10–40% central Au+Au collisions.
#: data_file: Data78,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: ∆v_2/p_T
#: keyword cmenergies: 62.4
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],62.4
#: Au+Au,${p} - \overline{p}$
#: Centrality [percentage],10-40
${p_T}$,$\Delta{v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.00026316,9.4e-05,-0.000174,0.001207,-0.001207,0.000264,-0.000264
0.495,0.0034211,0.000685,-0.001728,0.000469,-0.000469,0.000264,-0.000264
0.705,0.0047368,0.000867,-0.002,0.000376,-0.000376,0.000264,-0.000264
0.885,0.0047368,0.000896,-0.001997,0.000373,-0.000373,0.000264,-0.000264
1.095,0.0063158,0.000844,-0.001853,0.000413,-0.000413,0.000264,-0.000264
1.275,0.0071053,0.001033,-0.002241,0.00049,-0.00049,0.000264,-0.000264
1.485,0.0069737,0.000771,-0.001657,0.000606,-0.000606,0.000264,-0.000264
1.695,0.0047368,0.000536,-0.001127,0.000787,-0.000787,0.000264,-0.000264
2.875,0.0036842,0.000493,-0.001028,0.000935,-0.000935,0.000264,-0.000264
2.085,0.0080263,0.000591,-0.001236,0.001257,-0.001257,0.000264,-0.000264
2.295,0.0081579,0.00015,-0.000198,0.0017,-0.0017,0.000264,-0.000264
2.475,0.005,2.2e-05,-3.7e-05,0.002462,-0.002462,0.000264,-0.000264
2.685,0.010263,0.001255,-0.001245,0.003806,-0.003806,0.000264,-0.000264
2.955,0.0015789,0.00042,-0.000447,0.004524,-0.004524,0.000264,-0.000264
3.345,0.005,0.001397,-0.002508,0.0087,-0.0087,0.000264,-0.000264

