#: table_doi: 10.17182/hepdata.102408.v1/t6
#: name: Table 6
#: description: The elliptic flow,v_2, as a function of the transverse momentum,p_T, from 0–80% central Au+Au collisions for various particle species and energies.
#: data_file: Data2,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/p_T
#: keyword cmenergies: 19.6
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],19.6
#: Au+Au,$K^+$
#: Centrality [percentage],0-80
$p_T$,$v_2$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.013828,2.4e-05,-1.2e-05,0.000564,-0.000564,0.000908,-0.000908
0.495,0.02764,8e-06,-6e-06,0.000361,-0.000361,0.000908,-0.000908
0.705,0.045808,2.1e-05,-1.5e-05,0.000369,-0.000369,0.000908,-0.000908
0.885,0.060634,3.9e-05,-2.4e-05,0.00044,-0.00044,0.000908,-0.000908
1.095,0.073738,1.9e-05,-6e-06,0.000563,-0.000563,0.000908,-0.000908
1.275,0.084632,1.8e-05,-9e-06,0.000749,-0.000749,0.000908,-0.000908
1.485,0.092869,7.2e-05,-4e-05,0.001025,-0.001025,0.000908,-0.000908
1.695,0.097607,0.000232,-0.000194,0.001421,-0.001421,0.000908,-0.000908
1.875,0.109287,0.000352,-0.000365,0.00198,-0.00198,0.000908,-0.000908
2.085,0.109269,0.000754,-0.000667,0.002842,-0.002842,0.000908,-0.000908
2.355,0.113533,0.00077,-0.000605,0.003444,-0.003444,0.000908,-0.000908
2.805,0.121311,0.003396,-0.003598,0.007256,-0.007256,0.000908,-0.000908
3.435,0.118028,0.003967,-0.004202,0.021564,-0.021564,0.000908,-0.000908

