#: table_doi: 10.17182/hepdata.102408.v1/t306
#: name: Table 308
#: description: The elliptic flow,v_2, of 0–80% central Au+Au collisions as a function of the reduced transverse mass,$ m_T−m_0 $, for selected anti-particles.
#: data_file: Data97,e.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/$ m_T−m_0 $
#: keyword cmenergies: 19.5
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],19.6
#: Au+Au,${\pi^-}$
#: Centrality [percentage],0-80
$Reduced ~transverse~ mass~(GeV/C^2)$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.285,0.021675,0.0001,-5e-05,9.8e-05,-9.8e-05,0.00044,-0.00044
0.495,0.040813,4.7e-05,-2.4e-05,0.000121,-0.000121,0.00044,-0.00044
0.675,0.058607,4e-06,-2e-06,0.000169,-0.000169,0.00044,-0.00044
0.885,0.074643,4e-06,-2e-06,0.000243,-0.000243,0.00044,-0.00044
1.065,0.087691,8e-06,-6e-06,0.000353,-0.000353,0.00044,-0.00044
1.275,0.099187,7e-06,-4e-06,0.000513,-0.000513,0.00044,-0.00044
1.485,0.107375,2.2e-05,-1.4e-05,0.00075,-0.00075,0.00044,-0.00044
1.665,0.112568,2.5e-05,-1.5e-05,0.001092,-0.001092,0.00044,-0.00044
1.875,0.117449,6.7e-05,-0.000122,0.00155,-0.00155,0.00044,-0.00044

