#: table_doi: 10.17182/hepdata.102408.v1/t243
#: name: Table 235
#: description: The elliptic flow, v_2, of p and $\overline{p}$ as a function of the transverse momentum, p_T, for 40–80% central Au+Au collisions.
#: data_file: Data83,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: ∆v_2/p_T
#: keyword cmenergies: 27
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],27
#: Au+Au,${p} - \overline{p}$
#: Centrality [percentage],40-80
${p_T}$,$\Delta{v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.0057829,0.000746,-0.002201,0.002188,-0.002188,0.000669,-0.000669
0.495,0.0065845,0.000438,-0.001077,0.000895,-0.000895,0.000669,-0.000669
0.705,0.010506,0.000546,-0.001224,0.000812,-0.000812,0.000669,-0.000669
0.895,0.010017,0.00055,-0.001195,0.000882,-0.000882,0.000669,-0.000669
1.095,0.0092601,0.000755,-0.001623,0.001054,-0.001054,0.000669,-0.000669
1.285,0.01188,0.000516,-0.001101,0.001325,-0.001325,0.000669,-0.000669
1.485,0.0054148,0.000417,-0.000884,0.001716,-0.001716,0.000669,-0.000669
1.765,0.016089,0.00038,-0.000802,0.002283,-0.002283,0.000669,-0.000669
1.875,0.0015676,0.001207,-0.000577,0.003957,-0.003957,0.000669,-0.000669
2.295,0.0015975,0.000177,-9.5e-05,0.005364,-0.005364,0.000669,-0.000669
2.475,6.1659e-05,0.000348,-0.000726,0.007447,-0.007447,0.000669,-0.000669
2.805,0.0029522,0.000833,-0.0004,0.00814,-0.00814,0.000669,-0.000669
3.435,0.0069152,0.00292,-0.001384,0.023405,-0.023405,0.000669,-0.000669

