#: table_doi: 10.17182/hepdata.102408.v1/t178
#: name: Table 170
#: description: The elliptic flow,v_2 of $\Lambda$ and $\overline{\Lambda}$ as a function of the transverse momentum, p_T,for 0–80% central Au+Au. collisions.
#: data_file: Data46,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: ∆v_2/p_T
#: keyword cmenergies: 27
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],27
#: Au+Au,${\Lambda} - \bar{\Lambda}$
#: Centrality [percentage],0-80
${p_T}$,$\Delta{v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.4925,0.0014974,0.000569,-0.000866,0.002846,-0.002846,0.000764,-0.000764
0.7055,0.0055181,0.000396,-0.001152,0.001759,-0.001759,0.000764,-0.000764
0.9045,0.005492,0.000492,-0.000639,0.001451,-0.001451,0.000764,-0.000764
1.1055,0.0081692,0.000269,-0.000256,0.001411,-0.001411,0.000764,-0.000764
1.2955,0.0045491,0.000566,-0.000234,0.001516,-0.001516,0.000764,-0.000764
1.5055,0.0072247,0.000641,-0.000566,0.001741,-0.001741,0.000764,-0.000764
1.7055,0.0054041,0.000488,-0.00092,0.002109,-0.002109,0.000764,-0.000764
1.9045,0.0080796,0.000739,-0.000593,0.002638,-0.002638,0.000764,-0.000764
2.1055,0.006031,0.001769,-0.001008,0.003458,-0.003458,0.000764,-0.000764
2.3055,0.0044368,0.001443,-0.001245,0.004581,-0.004581,0.000764,-0.000764
2.5735,0.008902,0.002146,-0.002849,0.005013,-0.005013,0.000764,-0.000764
3.1185,0.011986,0.00205,-0.002416,0.008236,-0.008236,0.000764,-0.000764

