#: table_doi: 10.17182/hepdata.102408.v1/t233
#: name: Table 225
#: description: The elliptic flow, v_2, of p and $\overline{p}$ as a function of the transverse momentum, p_T, for 10–40% central Au+Au collisions.
#: data_file: Data77,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: ∆v_2/p_T
#: keyword cmenergies: 39
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],39
#: Au+Au,${p} - \overline{p}$
#: Centrality [percentage],10-40
${p_T}$,$\Delta{v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.0021385,0.000605,-0.001822,0.000926,-0.000926,0.000125,-0.000125
0.505,0.0047815,0.00045,-0.001128,0.000382,-0.000382,0.000125,-0.000125
0.705,0.0071632,0.000719,-0.001658,0.000316,-0.000316,0.000125,-0.000125
0.905,0.0082291,0.000809,-0.001801,0.000319,-0.000319,0.000125,-0.000125
1.195,0.0085056,0.000779,-0.001705,0.000359,-0.000359,0.000125,-0.000125
1.295,0.0082548,0.000737,-0.001596,0.000433,-0.000433,0.000125,-0.000125
1.535,0.0090595,0.000581,-0.001238,0.000545,-0.000545,0.000125,-0.000125
1.735,0.0085465,0.000348,-0.000729,0.000718,-0.000718,0.000125,-0.000125
1.875,0.0088191,0.000512,-0.001057,0.000866,-0.000866,0.000125,-0.000125
2.185,0.0088343,0.000281,-0.00058,0.001159,-0.001159,0.000125,-0.000125
2.325,0.0080591,0.000479,-0.000874,0.001558,-0.001558,0.000125,-0.000125
2.495,0.0014915,0.000943,-0.000641,0.002175,-0.002175,0.000125,-0.000125
2.685,0.0062417,0.000779,-0.001517,0.003081,-0.003081,0.000125,-0.000125
2.955,0.0059966,0.000219,-0.000449,0.003565,-0.003565,0.000125,-0.000125

