#: table_doi: 10.17182/hepdata.102408.v1/t164
#: name: Table 156
#: description: The elliptic flow,v_2 of p, $\overline{p}$ as a function of the transverse momentum, p_T,for 0–80% central Au+Au collisions.
#: data_file: Data39,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: ∆v_2/p_T
#: keyword cmenergies: 19.6
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],19.6
#: Au+Au,${p} - \overline{p}$
#: Centrality [percentage],0-80
${p_T}$,$\Delta{v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.0069692,0.000347,-0.001064,0.002809,-0.002809,0.000596,-0.000596
0.495,0.011017,0.000163,-0.00041,0.001171,-0.001171,0.000596,-0.000596
0.705,0.011625,0.000377,-0.000882,0.000988,-0.000988,0.000596,-0.000596
0.885,0.013372,0.000614,-0.001348,0.001015,-0.001015,0.000596,-0.000596
1.095,0.012258,0.000494,-0.001072,0.00117,-0.00117,0.000596,-0.000596
1.275,0.014582,0.000667,-0.001462,0.00145,-0.00145,0.000596,-0.000596
1.485,0.014034,0.000698,-0.000396,0.00188,-0.00188,0.000596,-0.000596
1.695,0.012341,0.000502,-0.000303,0.002563,-0.002563,0.000596,-0.000596
1.875,0.01466,0.000417,-0.000717,0.003122,-0.003122,0.000596,-0.000596
2.085,0.013544,0.000977,-0.000582,0.004311,-0.004311,0.000596,-0.000596
2.265,0.012998,0.000413,-0.000739,0.005952,-0.005952,0.000596,-0.000596
2.475,0.0072825,0.00137,-0.000753,0.008594,-0.008594,0.000596,-0.000596
2.835,0.015951,0.001709,-0.001017,0.010393,-0.010393,0.000596,-0.000596

