#: table_doi: 10.17182/hepdata.102408.v1/t292
#: name: Table 292
#: description: The elliptic flow,v_2, of 0–80% central Au+Au collisions as a function of the reduced transverse mass,$ m_T−m_0 $, for selected anti-particles.
#: data_file: Data95,e.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/$ m_T−m_0 $
#: keyword cmenergies: 7.7
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],7.7
#: Au+Au,$\pi^-$
#: Centrality [percentage],0-80
$Reduced ~transverse~ mass~(GeV/C^2)$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.285,0.022764,0.0,-0.0,0.000504,-0.000504,0.001283,-0.001283
0.495,0.039269,6.7e-05,-3.3e-05,0.000661,-0.000661,0.001283,-0.001283
0.675,0.05281,9.4e-05,-4.6e-05,0.000954,-0.000954,0.001283,-0.001283
0.885,0.064625,0.0,-0.0,0.001425,-0.001425,0.001283,-0.001283
1.155,0.074172,1e-06,-1e-06,0.001805,-0.001805,0.001283,-0.001283
1.545,0.085352,0.000151,-9.6e-05,0.004191,-0.004191,0.001283,-0.001283
1.935,0.100855,0.00176,-0.000972,0.010016,-0.010016,0.001283,-0.001283

