#: table_doi: 10.17182/hepdata.102408.v1/t24
#: name: Table 24
#: description: The elliptic flow,v_2, as a function of the transverse momentum,p_T, from 0–80% central Au+Au collisions for various particle species and energies.
#: data_file: Data8,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/p_T
#: keyword cmenergies: 19.6
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],19.6
#: Au+Au,${\Lambda}$
#: Centrality [percentage],0-80
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.4935,0.013916,0.00078,-0.000677,0.002318,-0.002318,0.000594,-0.000594
0.7055,0.027929,0.000561,-0.000631,0.001389,-0.001389,0.000594,-0.000594
0.9045,0.045104,0.000328,-0.000324,0.001138,-0.001138,0.000594,-0.000594
1.1055,0.061823,0.000531,-0.000373,0.001109,-0.001109,0.000594,-0.000594
1.2955,0.078641,0.000621,-0.000309,0.001202,-0.001202,0.000594,-0.000594
1.5055,0.098647,0.000412,-0.00051,0.001396,-0.001396,0.000594,-0.000594
1.7055,0.108869,0.000824,-0.000505,0.001729,-0.001729,0.000594,-0.000594
1.9045,0.124267,0.000902,-0.000737,0.002207,-0.002207,0.000594,-0.000594
2.1055,0.127194,0.001043,-0.001102,0.002934,-0.002934,0.000594,-0.000594
2.3055,0.141919,0.000728,-0.000898,0.003956,-0.003956,0.000594,-0.000594
2.5055,0.144249,0.001656,-0.001585,0.005429,-0.005429,0.000594,-0.000594
2.7865,0.153013,0.001478,-0.001258,0.005587,-0.005587,0.000594,-0.000594
3.5195,0.159485,0.003575,-0.003902,0.014889,-0.014889,0.000594,-0.000594

