#: table_doi: 10.17182/hepdata.102408.v1/t245
#: name: Table 237
#: description: The elliptic flow, v_2, of p and $\overline{p}$ as a function of the transverse momentum, p_T, for 40–80% central Au+Au collisions.
#: data_file: Data84,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: ∆v_2/p_T
#: keyword cmenergies: 39
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],39
#: Au+Au,${p} - \overline{p}$
#: Centrality [percentage],40-80
${p_T}$,$\Delta{v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.0054175,0.001069,-0.000379,0.002545,-0.002545,0.000544,-0.000544
0.495,0.0059413,0.000649,-0.001592,0.001109,-0.001109,0.000544,-0.000544
0.705,0.0062124,0.000736,-0.00165,0.000989,-0.000989,0.000544,-0.000544
0.885,0.00776,0.000462,-0.001,0.001073,-0.001073,0.000544,-0.000544
1.095,0.0049543,0.000758,-0.001575,0.001292,-0.001292,0.000544,-0.000544
1.275,0.0075293,0.000512,-0.000992,0.001646,-0.001646,0.000544,-0.000544
1.485,0.0065166,0.000389,-0.000823,0.00217,-0.00217,0.000544,-0.000544
1.695,-0.00013601,0.000671,-0.001204,0.002985,-0.002985,0.000544,-0.000544
1.875,-0.00063686,0.001024,-0.0018,0.003625,-0.003625,0.000544,-0.000544

