#: table_doi: 10.17182/hepdata.159489.v1/t35
#: name: Fig2_4.5GeV_$\Lambda$
#: description: $p_{T}$ dependence of $v_{2}$ for $\Lambda$ in Au+Au collisions at 4.5 GeV
#: data_file: v2pt_Lambda_4.5.yaml
#: keyword observables: elliptic flow
#: keyword cmenergies: 4.5
#: $p_{T}(GeV/c)$,$v_{2}$ $\Lambda$ 4.5 GeV
$p_{T}(GeV/c)$,$v_{2}$,stat +,stat -,sys +,sys -
0.6,0.010712,0.008383,-0.008383,0.007311,-0.007311
0.8,0.034708,0.004701,-0.004701,0.004989,-0.004989
1.0,0.041993,0.004088,-0.004088,0.004901,-0.004901
1.2,0.068104,0.004464,-0.004464,0.008088,-0.008088
1.45,0.076767,0.00475,-0.00475,0.008835,-0.008835
1.7,0.094076,0.008564,-0.008564,0.010581,-0.010581
1.9,0.137712,0.012724,-0.012724,0.016856,-0.016856
2.1,0.149184,0.019368,-0.019368,0.022379,-0.022379
2.35,0.149456,0.028318,-0.028318,0.014588,-0.014588
2.75,0.193076,0.058281,-0.058281,0.052637,-0.052637

