#: table_doi: 10.17182/hepdata.159489.v1/t23
#: name: Fig2_3.5GeV_$K^{0}_{S}$
#: description: $p_{T}$ dependence of $v_{2}$ for $K^{0}_{S}$ in Au+Au collisions at 3.5 GeV
#: data_file: v2pt_K0S_3.5.yaml
#: keyword observables: elliptic flow
#: keyword cmenergies: 3.5
#: $p_{T}(GeV/c)$,$v_{2}$ $K^{0}_{S}$ 3.5 GeV
$p_{T}(GeV/c)$,$v_{2}$,stat +,stat -,sys +,sys -
0.3,-0.011331,0.008126,-0.008126,0.007264,-0.007264
0.5,0.01144,0.006348,-0.006348,0.010612,-0.010612
0.7,0.00659,0.006262,-0.006262,0.019817,-0.019817
0.9,0.037533,0.007753,-0.007753,0.013686,-0.013686
1.1,0.059407,0.011015,-0.011015,0.017171,-0.017171
1.4,0.058411,0.014905,-0.014905,0.023294,-0.023294

