#: table_doi: 10.17182/hepdata.159489.v1/t63
#: name: Fig3_3.5GeV_$p$
#: description: The number of constituent quarks $n_q$ scaled $v_2$ as a function of $n_q$ scaled transverse kinetic energy for $p$ at 3.5 GeV
#: data_file: NCQ_Proton_3.5.yaml
#: keyword observables: elliptic flow
#: keyword cmenergies: 3.5
#: $(m_T - m_0)/n_q (GeV/c^2)$,$v_{2}/n_{q}$ $p$ 3.5 GeV
$(m_T - m_0)/n_q (GeV/c^2)$,$v_{2}/n_{q}$,stat +,stat -,sys +,sys -
0.041647,0.001115,8.6e-05,-8.6e-05,7.6e-05,-7.6e-05
0.077468,0.00218,0.000203,-0.000203,0.000159,-0.000159
0.120647,0.004676,0.000259,-0.000259,0.000265,-0.000265
0.16921,0.006637,0.000316,-0.000316,0.000378,-0.000378
0.221691,0.008051,0.000164,-0.000164,0.000444,-0.000444
0.277046,0.010371,0.000243,-0.000243,0.000579,-0.000579
0.334536,0.012647,0.000379,-0.000379,0.000718,-0.000718
0.393642,0.015702,0.000654,-0.000654,0.000902,-0.000902
0.453989,0.017617,0.001014,-0.001014,0.001183,-0.001183
0.515306,0.020522,0.001865,-0.001865,0.001542,-0.001542
0.577392,0.027505,0.002937,-0.002937,0.002186,-0.002186
0.640098,0.023393,0.005691,-0.005691,0.002018,-0.002018

