#: table_doi: 10.17182/hepdata.159489.v1/t6
#: name: Fig2_3GeV_$\pi^{-}$
#: description: $p_{T}$ dependence of $v_{2}$ for $\pi^{-}$ in Au+Au collisions at 3 GeV
#: data_file: v2pt_PiM_3.0.yaml
#: keyword observables: elliptic flow
#: keyword cmenergies: 3.0
#: $p_{T}(GeV/c)$,$v_{2}$ $\pi^{-}$ 3.0 GeV
$p_{T}(GeV/c)$,$v_{2}$,stat +,stat -,sys +,sys -
0.287527,-0.014398,0.00015,-0.00015,0.000221,-0.000221
0.486589,-0.019564,0.000276,-0.000276,0.000307,-0.000307
0.687114,-0.023119,0.000498,-0.000498,0.000384,-0.000384
0.923061,-0.031608,0.000811,-0.000811,0.000451,-0.000451
1.3157,-0.038212,0.003222,-0.003222,0.002371,-0.002371

