#: table_doi: 10.17182/hepdata.159489.v1/t60
#: name: Fig3_4.5GeV_$K^{0}_{S}$
#: description: The number of constituent quarks $n_q$ scaled $v_2$ as a function of $n_q$ scaled transverse kinetic energy for $K^{0}_{S}$ at 4.5 GeV
#: data_file: NCQ_K0S_4.5.yaml
#: keyword observables: elliptic flow
#: keyword cmenergies: 4.5
#: $(m_T - m_0)/n_q (GeV/c^2)$,$v_{2}/n_{q}$ $K^{0}_{S}$ 4.5 GeV
$(m_T - m_0)/n_q (GeV/c^2)$,$v_{2}/n_{q}$,stat +,stat -,sys +,sys -
0.041691,0.007219,0.008009,-0.008009,0.0039,-0.0039
0.103847,0.015488,0.005282,-0.005282,0.0031,-0.0031
0.180536,0.02457,0.00451,-0.00451,0.003354,-0.003354
0.265297,0.024028,0.004788,-0.004788,0.006407,-0.006407
0.354739,0.033958,0.006005,-0.006005,0.006475,-0.006475
0.493968,0.047267,0.007257,-0.007257,0.006144,-0.006144
0.68481,0.064434,0.019059,-0.019059,0.002932,-0.002932

