#: table_doi: 10.17182/hepdata.159489.v1/t41
#: name: Fig3_3GeV_$\pi^{-}$
#: description: The number of constituent quarks $n_q$ scaled $v_2$ as a function of $n_q$ scaled transverse kinetic energy for $\pi^{-}$ at 3 GeV
#: data_file: NCQ_PiM_3.0.yaml
#: keyword observables: elliptic flow
#: keyword cmenergies: 3.0
#: $(m_T - m_0)/n_q (GeV/c^2)$,$v_{2}/n_{q}$ $\pi^{-}$ 3.0 GeV
$(m_T - m_0)/n_q (GeV/c^2)$,$v_{2}/n_{q}$,stat +,stat -,sys +,sys -
0.0899,-0.007199,7.5e-05,-7.5e-05,0.000111,-0.000111
0.183164,-0.009782,0.000138,-0.000138,0.000154,-0.000154
0.280616,-0.01156,0.000249,-0.000249,0.000192,-0.000192
0.396809,-0.015804,0.000406,-0.000406,0.000225,-0.000225
0.591564,-0.019106,0.001611,-0.001611,0.001186,-0.001186

