#: table_doi: 10.17182/hepdata.159489.v1/t50
#: name: Fig3_4.5GeV_$K^{+}$
#: description: The number of constituent quarks $n_q$ scaled $v_2$ as a function of $n_q$ scaled transverse kinetic energy for $K^{+}$ at 4.5 GeV
#: data_file: NCQ_KP_4.5.yaml
#: keyword observables: elliptic flow
#: keyword cmenergies: 4.5
#: $(m_T - m_0)/n_q (GeV/c^2)$,$v_{2}/n_{q}$ $K^{+}$ 4.5 GeV
$(m_T - m_0)/n_q (GeV/c^2)$,$v_{2}/n_{q}$,stat +,stat -,sys +,sys -
0.070819,0.007018,0.001391,-0.001391,0.001049,-0.001049
0.141599,0.015576,0.001314,-0.001314,0.001696,-0.001696
0.223116,0.022971,0.001321,-0.001321,0.002938,-0.002938
0.310682,0.027167,0.001754,-0.001754,0.00337,-0.00337
0.401852,0.033718,0.002669,-0.002669,0.003842,-0.003842
0.4953,0.040771,0.003338,-0.003338,0.004915,-0.004915

