#: table_doi: 10.17182/hepdata.159489.v1/t40
#: name: Fig3_4.5GeV_$\pi^{+}$
#: description: The number of constituent quarks $n_q$ scaled $v_2$ as a function of $n_q$ scaled transverse kinetic energy for $\pi^{+}$ at 4.5 GeV
#: data_file: NCQ_PiP_4.5.yaml
#: keyword observables: elliptic flow
#: keyword cmenergies: 4.5
#: $(m_T - m_0)/n_q (GeV/c^2)$,$v_{2}/n_{q}$ $\pi^{+}$ 4.5 GeV
$(m_T - m_0)/n_q (GeV/c^2)$,$v_{2}/n_{q}$,stat +,stat -,sys +,sys -
0.095529,0.006753,0.000181,-0.000181,0.000936,-0.000936
0.189615,0.015169,0.000424,-0.000424,0.001996,-0.001996
0.286931,0.018355,0.000544,-0.000544,0.002435,-0.002435
0.385412,0.023816,0.000861,-0.000861,0.003304,-0.003304
0.484437,0.027468,0.001128,-0.001128,0.003487,-0.003487
0.583758,0.032635,0.001608,-0.001608,0.004441,-0.004441
0.68326,0.035607,0.002912,-0.002912,0.004554,-0.004554

