#: table_doi: 10.17182/hepdata.159489.v1/t71
#: name: Fig4_a
#: description: The energy dependence of $p_T$ integrated $v_2$ for $\pi^{\pm}$, $K^{\pm}$, $K^{0}_{S}$, $p$, and $\Lambda$ in 10-40\% centrality from Au+Au collisions at $\sqrt{s_{\text{NN}}}$ = 3.0, 3.2, 3.5, 3.9, and 4.5 GeV.
#: data_file: Fig4_a.yaml
#: keyword observables: elliptic flow
#: $\sqrt{s_{NN}}$,$\pi^{+}$
$\sqrt{s_{NN}}$,$\langle  v_{2} \rangle$,stat +,stat -,sys +,sys -
3.0,-0.02692,0.000141,-0.000141,0.0003,-0.0003
3.2,-0.013131,0.00012,-0.00012,0.000169,-0.000169
3.5,0.000924,0.00016,-0.00016,0.00027,-0.00027
3.9,0.01267,0.000178,-0.000178,0.000845,-0.000845
4.5,0.022195,0.000325,-0.000325,0.001576,-0.001576

#: $\sqrt{s_{NN}}$,$\pi^{-}$
$\sqrt{s_{NN}}$,$\langle  v_{2} \rangle$,stat +,stat -,sys +,sys -
3.0,-0.01649,0.000126,-0.000126,0.0003,-0.0003
3.2,-0.003963,0.00011,-0.00011,0.000102,-0.000102
3.5,0.009287,0.000139,-0.000139,0.0002,-0.0002
3.9,0.019462,0.000151,-0.000151,0.001434,-0.001434
4.5,0.028279,0.000314,-0.000314,0.002116,-0.002116

#: $\sqrt{s_{NN}}$,$K^{+}$
$\sqrt{s_{NN}}$,$\langle  v_{2} \rangle$,stat +,stat -,sys +,sys -
3.0,-0.01752,0.000859,-0.000859,0.0004,-0.0004
3.2,-0.000822,0.000534,-0.000534,0.000369,-0.000369
3.5,0.013327,0.00143,-0.00143,0.000949,-0.000949
3.9,0.026188,0.000598,-0.000598,0.001093,-0.001093
4.5,0.038151,0.001348,-0.001348,0.002365,-0.002365

#: $\sqrt{s_{NN}}$,$K^{-}$
$\sqrt{s_{NN}}$,$\langle  v_{2} \rangle$,stat +,stat -,sys +,sys -
3.0,-0.019034,0.003601,-0.003601,0.0008,-0.0008
3.2,-0.00924,0.002125,-0.002125,0.001639,-0.001639
3.5,0.009997,0.004942,-0.004942,0.002435,-0.002435
3.9,0.013228,0.001581,-0.001581,0.009341,-0.009341
4.5,0.031064,0.003312,-0.003312,0.00333,-0.00333

#: $\sqrt{s_{NN}}$,$K^{0}_{S}$
$\sqrt{s_{NN}}$,$\langle  v_{2} \rangle$,stat +,stat -,sys +,sys -
3.0,-0.013475,0.003225,-0.003225,0.002332,-0.002332
3.2,0.006672,0.003437,-0.003437,0.000907,-0.000907
3.5,0.018586,0.00406,-0.00406,0.005553,-0.005553
3.9,0.029998,0.004554,-0.004554,0.006644,-0.006644
4.5,0.047568,0.005116,-0.005116,0.004102,-0.004102

#: $\sqrt{s_{NN}}$,$p$
$\sqrt{s_{NN}}$,$\langle  v_{2} \rangle$,stat +,stat -,sys +,sys -
3.0,-0.018839,5.8e-05,-5.8e-05,0.0001,-0.0001
3.2,-0.005605,6.1e-05,-6.1e-05,0.000101,-0.000101
3.5,0.011538,0.00028,-0.00028,0.000279,-0.000279
3.9,0.025334,0.000134,-0.000134,0.000645,-0.000645
4.5,0.039162,0.000298,-0.000298,0.002086,-0.002086

#: $\sqrt{s_{NN}}$,$\Lambda$
$\sqrt{s_{NN}}$,$\langle  v_{2} \rangle$,stat +,stat -,sys +,sys -
3.0,-0.021928,0.004811,-0.004811,0.002708,-0.002708
3.2,-0.004812,0.001657,-0.001657,0.00171,-0.00171
3.5,0.012177,0.002044,-0.002044,0.001595,-0.001595
3.9,0.021691,0.004023,-0.004023,0.005991,-0.005991
4.5,0.044205,0.00248,-0.00248,0.002498,-0.002498

