#: table_doi: 10.17182/hepdata.159489.v1/t19
#: name: Fig2_3.9GeV_$K^{-}$
#: description: $p_{T}$ dependence of $v_{2}$ for $K^{-}$ in Au+Au collisions at 3.9 GeV
#: data_file: v2pt_KM_3.9.yaml
#: keyword observables: elliptic flow
#: keyword cmenergies: 3.9
#: $p_{T}(GeV/c)$,$v_{2}$ $K^{-}$ 3.9 GeV
$p_{T}(GeV/c)$,$v_{2}$,stat +,stat -,sys +,sys -
0.3,0.004928,0.003349,-0.003349,0.003386,-0.003386
0.5,-0.010484,0.002816,-0.002816,0.015808,-0.015808
0.7,0.00759,0.003208,-0.003208,0.014059,-0.014059
0.9,0.005124,0.004371,-0.004371,0.019369,-0.019369
1.1,0.035427,0.006513,-0.006513,0.007222,-0.007222
1.3,0.072515,0.011448,-0.011448,0.004609,-0.004609

