#: table_doi: 10.17182/hepdata.159489.v1/t54
#: name: Fig3_3.9GeV_$K^{-}$
#: description: The number of constituent quarks $n_q$ scaled $v_2$ as a function of $n_q$ scaled transverse kinetic energy for $K^{-}$ at 3.9 GeV
#: data_file: NCQ_KM_3.9.yaml
#: keyword observables: elliptic flow
#: keyword cmenergies: 3.9
#: $(m_T - m_0)/n_q (GeV/c^2)$,$v_{2}/n_{q}$ $K^{-}$ 3.9 GeV
$(m_T - m_0)/n_q (GeV/c^2)$,$v_{2}/n_{q}$,stat +,stat -,sys +,sys -
0.041979,0.002464,0.001675,-0.001675,0.001693,-0.001693
0.104438,-0.005242,0.001408,-0.001408,0.007904,-0.007904
0.18138,0.003795,0.001604,-0.001604,0.00703,-0.00703
0.266331,0.002562,0.002185,-0.002185,0.009684,-0.009684
0.355917,0.017713,0.003257,-0.003257,0.003611,-0.003611
0.448348,0.036257,0.005724,-0.005724,0.002304,-0.002304

