#: table_doi: 10.17182/hepdata.159489.v1/t56
#: name: Fig3_3GeV_$K^{0}_{S}$
#: description: The number of constituent quarks $n_q$ scaled $v_2$ as a function of $n_q$ scaled transverse kinetic energy for $K^{0}_{S}$ at 3 GeV
#: data_file: NCQ_K0S_3.0.yaml
#: keyword observables: elliptic flow
#: keyword cmenergies: 3.0
#: $(m_T - m_0)/n_q (GeV/c^2)$,$v_{2}/n_{q}$ $K^{0}_{S}$ 3.0 GeV
$(m_T - m_0)/n_q (GeV/c^2)$,$v_{2}/n_{q}$,stat +,stat -,sys +,sys -
0.041691,-0.015691,0.008749,-0.008749,0.008146,-0.008146
0.103847,0.002966,0.007687,-0.007687,0.006718,-0.006718
0.180536,0.003858,0.008423,-0.008423,0.004427,-0.004427
0.265297,-0.003623,0.011513,-0.011513,0.003126,-0.003126
0.354739,0.016619,0.018652,-0.018652,0.002664,-0.002664
0.493968,0.025258,0.032157,-0.032157,0.007212,-0.007212
0.68481,0.21611,0.126674,-0.126674,0.186985,-0.186985

