#: table_doi: 10.17182/hepdata.159489.v1/t27
#: name: Fig2_3.2GeV_$p$
#: description: $p_{T}$ dependence of $v_{2}$ for $p$ in Au+Au collisions at 3.2 GeV
#: data_file: v2pt_Proton_3.2.yaml
#: keyword observables: elliptic flow
#: keyword cmenergies: 3.2
#: $p_{T}(GeV/c)$,$v_{2}$ $p$ 3.2 GeV
$p_{T}(GeV/c)$,$v_{2}$,stat +,stat -,sys +,sys -
0.5,-0.004783,0.000106,-0.000106,0.000274,-0.000274
0.7,-0.006074,0.000114,-0.000114,9e-05,-9e-05
0.9,-0.006818,0.000139,-0.000139,7.7e-05,-7.7e-05
1.1,-0.006598,0.000189,-0.000189,0.000293,-0.000293
1.3,-0.005063,0.000277,-0.000277,0.000357,-0.000357
1.5,-0.0028,0.00043,-0.00043,0.000391,-0.000391
1.7,0.003433,0.000691,-0.000691,0.000281,-0.000281
1.9,0.010782,0.001155,-0.001155,0.000366,-0.000366
2.1,0.026199,0.002011,-0.002011,0.000769,-0.000769
2.4,0.024493,0.003186,-0.003186,0.002,-0.002
2.8,0.046268,0.011518,-0.011518,0.009271,-0.009271

