#: table_doi: 10.17182/hepdata.159489.v1/t10
#: name: Fig2_4.5GeV_$\pi^{-}$
#: description: $p_{T}$ dependence of $v_{2}$ for $\pi^{-}$ in Au+Au collisions at 4.5 GeV
#: data_file: v2pt_PiM_4.5.yaml
#: keyword observables: elliptic flow
#: keyword cmenergies: 4.5
#: $p_{T}(GeV/c)$,$v_{2}$ $\pi^{-}$ 4.5 GeV
$p_{T}(GeV/c)$,$v_{2}$,stat +,stat -,sys +,sys -
0.3,0.019883,0.00036,-0.00036,0.002688,-0.002688
0.5,0.036388,0.000825,-0.000825,0.004871,-0.004871
0.7,0.047187,0.001046,-0.001046,0.006515,-0.006515
0.9,0.054885,0.001614,-0.001614,0.007395,-0.007395
1.1,0.06497,0.002155,-0.002155,0.008966,-0.008966
1.3,0.073873,0.003174,-0.003174,0.009571,-0.009571
1.5,0.081128,0.005188,-0.005188,0.010263,-0.010263
1.7,0.081005,0.008818,-0.008818,0.010234,-0.010234
1.9,0.090897,0.015323,-0.015323,0.010511,-0.010511

