#: table_doi: 10.17182/hepdata.159489.v1/t1
#: name: Fig2_3GeV_$\pi^{+}$
#: description: $p_{T}$ dependence of $v_{2}$ for $\pi^{+}$ in Au+Au collisions at 3 GeV
#: data_file: v2pt_PiP_3.0.yaml
#: keyword observables: elliptic flow
#: keyword cmenergies: 3.0
#: $p_{T}(GeV/c)$,$v_{2}$ $\pi^{+}$ 3.0 GeV
$p_{T}(GeV/c)$,$v_{2}$,stat +,stat -,sys +,sys -
0.290944,-0.022717,0.000171,-0.000171,0.000517,-0.000517
0.487398,-0.033481,0.000297,-0.000297,0.000511,-0.000511
0.687496,-0.037594,0.000527,-0.000527,0.000643,-0.000643
0.924939,-0.047631,0.000861,-0.000861,0.000694,-0.000694
1.32218,-0.046602,0.003158,-0.003158,0.000775,-0.000775

