#: table_doi: 10.17182/hepdata.159489.v1/t33
#: name: Fig2_3.5GeV_$\Lambda$
#: description: $p_{T}$ dependence of $v_{2}$ for $\Lambda$ in Au+Au collisions at 3.5 GeV
#: data_file: v2pt_Lambda_3.5.yaml
#: keyword observables: elliptic flow
#: keyword cmenergies: 3.5
#: $p_{T}(GeV/c)$,$v_{2}$ $\Lambda$ 3.5 GeV
$p_{T}(GeV/c)$,$v_{2}$,stat +,stat -,sys +,sys -
0.5,-0.007127,0.005106,-0.005106,0.00407,-0.00407
0.7,0.002046,0.00303,-0.00303,0.000528,-0.000528
0.9,0.009819,0.002878,-0.002878,0.000986,-0.000986
1.1,0.018722,0.003341,-0.003341,0.001179,-0.001179
1.4,0.034659,0.003621,-0.003621,0.002018,-0.002018
1.8,0.05379,0.008213,-0.008213,0.003828,-0.003828
2.25,0.069608,0.022298,-0.022298,0.006072,-0.006072

