#: table_doi: 10.17182/hepdata.159489.v1/t15
#: name: Fig2_4.5GeV_$K^{+}$
#: description: $p_{T}$ dependence of $v_{2}$ for $K^{+}$ in Au+Au collisions at 4.5 GeV
#: data_file: v2pt_KP_4.5.yaml
#: keyword observables: elliptic flow
#: keyword cmenergies: 4.5
#: $p_{T}(GeV/c)$,$v_{2}$ $K^{+}$ 4.5 GeV
$p_{T}(GeV/c)$,$v_{2}$,stat +,stat -,sys +,sys -
0.4,0.014036,0.002782,-0.002782,0.002098,-0.002098
0.6,0.031152,0.002627,-0.002627,0.003392,-0.003392
0.8,0.045941,0.002643,-0.002643,0.005877,-0.005877
1.0,0.054335,0.003508,-0.003508,0.006739,-0.006739
1.2,0.067436,0.005338,-0.005338,0.007684,-0.007684
1.4,0.081543,0.006677,-0.006677,0.00983,-0.00983

