energy_GeV,pdg_id,particle_name,data_yield,data_err,model_yield
200.000000,-3312,"Xi_bar",1.830000,0.206155,1.972430
200.000000,-3122,"Lambda_bar",12.700000,0.921954,11.816983
200.000000,-2212,"pbar",18.584700,3.450663,21.124228
200.000000,-321,"K-",49.500000,6.200000,56.174096
200.000000,-211,"pi-",327.000000,25.000000,303.176088
200.000000,211,"pi+",322.000000,25.000000,303.204864
200.000000,321,"K+",51.300000,6.500000,59.322453
200.000000,333,"phi",7.700000,0.901388,7.855488
200.000000,2212,"p",24.028700,4.457623,29.106061
200.000000,3122,"Lambda",16.700000,1.118034,15.127377
200.000000,3312,"Xi",2.170000,0.199249,2.351846
