energy_GeV,pdg_id,particle_name,data_yield,data_err,model_yield
7.700000,-3312,"Xi_bar",0.065700,0.008099,0.058436
7.700000,-3122,"Lambda_bar",0.193000,0.019925,0.212519
7.700000,-2212,"pbar",0.274805,0.053159,0.221620
7.700000,-321,"K-",7.692720,0.625101,8.231162
7.700000,-211,"pi-",100.039100,9.116046,89.229050
7.700000,211,"pi+",93.459800,8.436687,89.356705
7.700000,321,"K+",20.800710,1.688349,21.182620
7.700000,2212,"p",45.185760,6.079735,54.170774
7.700000,3122,"Lambda",15.300000,0.827345,14.793853
7.700000,3312,"Xi",1.190000,0.114018,1.194271
